Participant,Temperature,Duration,Location,,,,,,,,,#N/A,#N/A,,#N/A,#VALUE!,,,,
17,0,2,1,,L1,No,,,,,,0,0,,0,1,,,,
17,0,2,0.25,,L2,No,,,,,,0.25,0,,1,1,,,,
17,0,2,0.75,,L2,No,,,,,,0.25,0,,0,1,,,,
17,0,2,1,,L1,No,,,,,,0,0,,0,1,,,,
17,0,2,0.25,,L2,Cold,,,,,,0.25,-1,,1,0,,,,
17,0,2,0.5,,L2,No,,,,,,0.25,0,,0,1,,,,
17,6,0.1,0.25,,L2,No,,,,,,0.25,0,,1,0,,,,
17,6,0.1,0.5,,L2,No,,,,,,0.25,0,,0,0,,,,
17,6,0.1,0.25,,L2,Cold,,,,,,0.25,-1,,1,0,,,,
17,6,0.1,1,,L2,Cold,,,,,,0.25,-1,,0,0,,,,
17,6,0.1,0.75,,L2,No,,,,,,0.25,0,,0,0,,,,
17,6,0.1,0,,L2,Cold,,,,,,0.25,-1,,0,0,,,,
17,6,0.1,0.75,,L3,Hot,,,,,,0.5,1,,0,1,,,,
17,6,0.1,1,,L2,Hot,,,,,,0.25,1,,0,1,,,,
17,6,0.1,0,,L3,Hot,,,,,,0.5,1,,0,1,,,,
17,6,0.1,0.5,,L2,Hot,,,,,,0.25,1,,0,1,,,,
17,6,0.5,0.25,,L3,No,,,,,,0.5,0,,0,0,,,,
17,6,0.5,1,,L3,No,,,,,,0.5,0,,0,0,,,,
17,6,0.5,0.5,,L3,Hot,,,,,,0.5,1,,1,1,,,,
17,6,0.5,1,,L3,No,,,,,,0.5,0,,0,0,,,,
17,6,0.5,0,,L3,Hot,,,,,,0.5,1,,0,1,,,,
17,6,0.5,0.25,,L3,Hot,,,,,,0.5,1,,0,1,,,,
17,6,0.5,0.75,,L3,Hot,,,,,,0.5,1,,0,1,,,,
17,6,0.5,0.5,,L3,No,,,,,,0.5,0,,1,0,,,,
17,6,0.5,0,,L3,Cold,,,,,,0.5,-1,,0,0,,,,
17,6,0.5,0.75,,L3,No,,,,,,0.5,0,,0,0,,,,
17,6,1,0.25,,L3,No,,,,,,0.5,0,,0,0,,,,
17,6,1,1,,L3,Hot,,,,,,0.5,1,,0,1,,,,
17,6,1,0,,L2,No,,,,,,0.25,0,,0,0,,,,
17,6,1,0.25,,L3,No,,,,,,0.5,0,,0,0,,,,
17,6,1,1,,L3,Hot,,,,,,0.5,1,,0,1,,,,
17,6,1,0.75,,L2,Hot,,,,,,0.25,1,,0,1,,,,
17,6,1,0.75,,L3,Hot,,,,,,0.5,1,,0,1,,,,
17,6,1,0,,L3,Hot,,,,,,0.5,1,,0,1,,,,
17,6,1,0.5,,L2,Hot,,,,,,0.25,1,,0,1,,,,
17,6,1,0.5,,L2,No,,,,,,0.25,0,,0,0,,,,
17,6,1.5,0.75,,L2,No,,,,,,0.25,0,,0,0,,,,
17,6,1.5,0.25,,L1,Cold,,,,,,0,-1,,0,0,,,,
17,6,1.5,0.75,,L3,Cold,,,,,,0.5,-1,,0,0,,,,
17,6,1.5,0.25,,L2,Hot,,,,,,0.25,1,,1,1,,,,
17,6,1.5,0,,L2,Hot,,,,,,0.25,1,,0,1,,,,
17,6,1.5,1,,L2,Cold,,,,,,0.25,-1,,0,0,,,,
17,6,1.5,0.5,,L3,Hot,,,,,,0.5,1,,1,1,,,,
17,6,1.5,1,,L1,Cold,,,,,,0,-1,,0,0,,,,
17,6,1.5,0,,L1,Hot,,,,,,0,1,,1,1,,,,
17,6,1.5,0.5,,L2,Hot,,,,,,0.25,1,,0,1,,,,
17,6,2,0.5,,L2,No,,,,,,0.25,0,,0,0,,,,
17,6,2,0,,L1,Cold,,,,,,0,-1,,1,0,,,,
17,6,2,1,,L2,Cold,,,,,,0.25,-1,,0,0,,,,
17,6,2,0.5,,L1,Hot,,,,,,0,1,,0,1,,,,
17,6,2,0.25,,L1,Hot,,,,,,0,1,,0,1,,,,
17,6,2,0.25,,L1,Hot,,,,,,0,1,,0,1,,,,
17,6,2,0.75,,L3,Cold,,,,,,0.5,-1,,0,0,,,,
17,6,2,1,,L3,Cold,,,,,,0.5,-1,,0,0,,,,
17,6,2,0,,L2,No,,,,,,0.25,0,,0,0,,,,
17,6,2,0.75,,L2,No,,,,,,0.25,0,,0,0,,,,
17,9,0.1,1,,L3,No,,,,,,0.5,0,,0,0,,,,
17,9,0.1,0.75,,L2,Hot,,,,,,0.25,1,,0,1,,,,
17,9,0.1,0.5,,L3,Hot,,,,,,0.5,1,,1,1,,,,
17,9,0.1,0,,L3,Hot,,,,,,0.5,1,,0,1,,,,
17,9,0.1,0.5,,L3,Hot,,,,,,0.5,1,,1,1,,,,
17,9,0.1,0.25,,L3,Hot,,,,,,0.5,1,,0,1,,,,
17,9,0.1,0,,L1,Hot,,,,,,0,1,,1,1,,,,
17,9,0.1,0.25,,L1,Hot,,,,,,0,1,,0,1,,,,
17,9,0.1,0.75,,L1,Hot,,,,,,0,1,,0,1,,,,
17,9,0.1,1,,L2,Hot,,,,,,0.25,1,,0,1,,,,
17,9,0.5,0.5,,L2,No,,,,,,0.25,0,,0,0,,,,
17,9,0.5,1,,L2,Hot,,,,,,0.25,1,,0,1,,,,
17,9,0.5,0,,L2,No,,,,,,0.25,0,,0,0,,,,
17,9,0.5,1,,L2,No,,,,,,0.25,0,,0,0,,,,
17,9,0.5,0.5,,L2,Hot,,,,,,0.25,1,,0,1,,,,
17,9,0.5,0.25,,L1,Hot,,,,,,0,1,,0,1,,,,
17,9,0.5,0,,L2,No,,,,,,0.25,0,,0,0,,,,
17,9,0.5,0.75,,L2,No,,,,,,0.25,0,,0,0,,,,
17,9,0.5,0.25,,L2,No,,,,,,0.25,0,,1,0,,,,
17,9,0.5,0.75,,L1,Hot,,,,,,0,1,,0,1,,,,
17,9,1,0.5,,L1,Hot,,,,,,0,1,,0,1,,,,
17,9,1,1,,L2,No,,,,,,0.25,0,,0,0,,,,
17,9,1,1,,L1,Hot,,,,,,0,1,,0,1,,,,
17,9,1,0.5,,L2,No,,,,,,0.25,0,,0,0,,,,
17,9,1,0.25,,L3,No,,,,,,0.5,0,,0,0,,,,
17,9,1,0,,L3,No,,,,,,0.5,0,,0,0,,,,
17,9,1,0,,L3,No,,,,,,0.5,0,,0,0,,,,
17,9,1,0.75,,L2,Cold,,,,,,0.25,-1,,0,0,,,,
17,9,1,0.25,,L2,Hot,,,,,,0.25,1,,1,1,,,,
17,9,1,0.75,,L2,Hot,,,,,,0.25,1,,0,1,,,,
17,9,1.5,1,,L3,No,,,,,,0.5,0,,0,0,,,,
17,9,1.5,0.25,,L2,Hot,,,,,,0.25,1,,1,1,,,,
17,9,1.5,0.25,,L2,No,,,,,,0.25,0,,1,0,,,,
17,9,1.5,0.75,,L2,No,,,,,,0.25,0,,0,0,,,,
17,9,1.5,0.75,,L1,Cold,,,,,,0,-1,,0,0,,,,
17,9,1.5,0,,L1,Hot,,,,,,0,1,,1,1,,,,
17,9,1.5,0.5,,L1,Hot,,,,,,0,1,,0,1,,,,
17,9,1.5,0.5,,L1,Hot,,,,,,0,1,,0,1,,,,
17,9,1.5,0,,L1,Hot,,,,,,0,1,,1,1,,,,
17,9,1.5,1,,L1,Hot,,,,,,0,1,,0,1,,,,
17,9,2,0.5,,L1,Hot,,,,,,0,1,,0,1,,,,
17,9,2,0.5,,L1,Cold,,,,,,0,-1,,0,0,,,,
17,9,2,0.75,,L1,Hot,,,,,,0,1,,0,1,,,,
17,9,2,0.25,,L1,Hot,,,,,,0,1,,0,1,,,,
17,9,2,0.25,,L1,No,,,,,,0,0,,0,0,,,,
17,9,2,1,,L1,No,,,,,,0,0,,0,0,,,,
17,9,2,0.75,,L1,Cold,,,,,,0,-1,,0,0,,,,
17,9,2,0,,L1,Cold,,,,,,0,-1,,1,0,,,,
17,9,2,1,,L1,Hot,,,,,,0,1,,0,1,,,,
17,9,2,0,,L1,Hot,,,,,,0,1,,1,1,,,,
