Participant,Temperature,Duration,Location,,,,,,,,,#N/A,#N/A,,#N/A,#VALUE!,,,,
18,-15,1.5,0,,L1,Cold,,,,,,0,-1,,1,1,,-15,0.72,0.86
18,9,0.5,1,,L5,Hot,,,,,,1,1,,1,1,,-12,0.68,0.62
18,6,2,0.75,,L4,Hot,,,,,,0.75,1,,1,1,,0,0.76,0.96
18,-12,0.1,0.75,,L5,No,,L1,0,,,1,0,,0,0,,6,0.66,0.98
18,9,1.5,0,,L1,Hot,,L2,0.25,,,0,1,,1,1,,9,0.72,0.9
18,-12,2,1,,L5,Cold,,L3,0.5,,,1,-1,,1,1,,,,
18,-15,0.5,0.25,,L1,No,,L4,0.75,,,0,0,,0,0,,0.1,0.54,0.76
18,0,2,0.25,,L2,No,,L5,1,,,0.25,0,,1,1,,0.5,0.74,0.92
18,6,2,0,,L1,Hot,,,,,,0,1,,1,1,,1,0.78,0.92
18,9,1,0.25,,L2,Hot,,Hot,1,,,0.25,1,,1,1,,1.5,0.72,0.86
18,6,0.5,0.5,,L5,Hot,,No,0,,,1,1,,0,1,,2,0.76,0.86
18,0,1.5,0.5,,L3,No,,Cold,-1,,,0.5,0,,1,1,,,,
18,-15,2,0.75,,L4,Cold,,,,,,0.75,-1,,1,1,,L1,0.94,0.78
18,-15,2,1,,L5,Cold,,,,,,1,-1,,1,1,,L2,0.64,0.86
18,0,1.5,0.25,,L2,No,,,,,,0.25,0,,1,1,,L3,0.48,0.82
18,0,0.5,0.75,,L3,No,,,,,,0.5,0,,0,1,,L4,0.54,0.98
18,0,0.5,0.25,,L2,No,,,,,,0.25,0,,1,1,,L5,0.94,0.88
18,-12,2,0.75,,L5,Cold,,,,,,1,-1,,0,1,,,,
18,0,0.1,1,,L5,Cold,,,,,,1,-1,,1,0,,,,
18,6,1.5,0.5,,L4,Hot,,,,,,0.75,1,,0,1,,,,
18,0,0.1,1,,L5,No,,,,,,1,0,,1,1,,,,
18,0,0.1,0.5,,L4,No,,,,,,0.75,0,,0,1,,,,
18,6,0.5,1,,L5,Hot,,,,,,1,1,,1,1,,,,
18,6,2,1,,L5,Hot,,,,,,1,1,,1,1,,,,
18,0,2,1,,L5,No,,,,,,1,0,,1,1,,,,
18,9,0.1,1,,L5,No,,,,,,1,0,,1,0,,,,
18,-15,2,1,,L5,Cold,,,,,,1,-1,,1,1,,,,
18,0,1.5,0.75,,L3,No,,,,,,0.5,0,,0,1,,,,
18,9,1.5,0.5,,L3,Hot,,,,,,0.5,1,,1,1,,,,
18,-12,0.1,0,,L1,Cold,,,,,,0,-1,,1,1,,,,
18,-12,1,0.5,,L3,Cold,,,,,,0.5,-1,,1,1,,,,
18,6,0.1,0.75,,L5,Hot,,,,,,1,1,,0,1,,,,
18,6,1,0,,L1,Hot,,,,,,0,1,,1,1,,,,
18,-12,1,1,,L5,Cold,,,,,,1,-1,,1,1,,,,
18,6,0.5,0,,L1,Hot,,,,,,0,1,,1,1,,,,
18,-15,1,0.5,,L2,No,,,,,,0.25,0,,0,0,,,,
18,9,2,0,,L1,No,,,,,,0,0,,1,0,,,,
18,9,1.5,0.75,,L5,Hot,,,,,,1,1,,0,1,,,,
18,9,0.5,0.75,,L4,Hot,,,,,,0.75,1,,1,1,,,,
18,0,2,0.75,,L4,No,,,,,,0.75,0,,1,1,,,,
