Participant,Trial,Temperature,Duration,Direction,FeltThermal,numLocation,extraLocations,ThermalMatch,NumMatch,DirectionMatch,Location,FeltLocation,Displacement
3,2,0,0.1,1,0,3,,1,1,1,1,0.2248611,0.2248611
3,2,0,0.1,1,0,3,,1,1,1,2,0.4915278,0.4915278
3,2,0,0.1,1,0,3,,1,1,1,3,0.7693056,0.23069439999999997
3,3,9,0.25,1,1,3,,1,1,1,1,0.3138889,0.3138889
3,3,9,0.25,1,1,3,,1,1,1,2,0.5472222,0.5472222
3,3,9,0.25,1,1,3,,1,1,1,3,0.8722222,0.12777780000000005
3,5,9,0.1,0,1,3,,1,1,1,1,0.7415278,0.25847220000000004
3,5,9,0.1,0,1,3,,1,1,1,2,0.4581945,0.5418054999999999
3,5,9,0.1,0,1,3,,1,1,1,3,0.2276389,0.2276389
3,6,-15,0.25,0,-1,3,,1,1,1,1,0.8527778,0.14722219999999997
3,6,-15,0.25,0,-1,3,,1,1,1,2,0.5444444,0.45555559999999995
3,6,-15,0.25,0,-1,3,,1,1,1,3,0.2555556,0.2555556
3,8,9,0.5,1,1,3,,1,1,1,1,0.0,0.0
3,8,9,0.5,1,1,3,,1,1,1,2,0.4388889,0.4388889
3,8,9,0.5,1,1,3,,1,1,1,3,0.8470834,0.15291659999999996
3,10,0,0.5,1,0,3,,1,1,1,1,0.2998611,0.2998611
3,10,0,0.5,1,0,3,,1,1,1,2,0.63875,0.63875
3,10,0,0.5,1,0,3,,1,1,1,3,0.7276389,0.2723611
3,11,-15,0.1,0,-1,3,,1,1,1,1,0.8609723,0.13902769999999998
3,11,-15,0.1,0,-1,3,,1,1,1,2,0.5081945,0.4918055
3,11,-15,0.1,0,-1,3,,1,1,1,3,0.1248612,0.1248612
3,12,-15,0.1,1,-1,3,,1,1,1,1,0.1638889,0.1638889
3,12,-15,0.1,1,-1,3,,1,1,1,2,0.6138889,0.6138889
3,12,-15,0.1,1,-1,3,,1,1,1,3,0.9248611,0.07513890000000001
3,13,9,0.1,0,1,3,,1,1,1,1,1.0,0.0
3,13,9,0.1,0,1,3,,1,1,1,2,0.5888889,0.41111109999999995
3,13,9,0.1,0,1,3,,1,1,1,3,0.05833333,0.05833333
3,15,9,0.5,0,1,3,,1,1,1,1,1.0,0.0
3,15,9,0.5,0,1,3,,1,1,1,2,0.8083333,0.19166669999999997
3,15,9,0.5,0,1,3,,1,1,1,3,0.15,0.15
3,16,9,0.5,1,1,3,,1,1,1,1,0.1694444,0.1694444
3,16,9,0.5,1,1,3,,1,1,1,2,0.5972222,0.5972222
3,16,9,0.5,1,1,3,,1,1,1,3,0.9361111,0.06388890000000003
3,17,-15,0.1,1,-1,3,,1,1,1,1,0.1805556,0.1805556
3,17,-15,0.1,1,-1,3,,1,1,1,2,0.4833333,0.4833333
