Temperature,Duration,Direction,Location,Shapiro_W,p_value,Normality_OK
-15,0.1,0,1,0.7763184834190178,1.2781557996154344e-09,0
-15,0.1,0,2,0.9439021637288595,0.0016981204645669678,0
-15,0.1,0,3,0.8191399107956528,1.9809928413793882e-08,0
-15,0.1,1,1,0.7415243189361369,2.7799791405819175e-09,0
-15,0.1,1,2,0.9207284626892629,0.0005332121180978219,0
-15,0.1,1,3,0.7928718310491486,4.389342587402437e-08,0
-15,0.25,0,1,0.784622008329714,9.506369483081681e-10,0
-15,0.25,0,2,0.9273665013729487,0.00014852489934435593,0
-15,0.25,0,3,0.78086617765342,7.516608532962669e-10,0
-15,0.25,1,1,0.6858558085916576,2.2131962743981453e-11,0
-15,0.25,1,2,0.9015279162127676,2.4914233611804596e-05,0
-15,0.25,1,3,0.7549639790862822,7.394088412099463e-10,0
-15,0.5,0,1,0.7563046276176758,4.73158142807604e-10,0
-15,0.5,0,2,0.8931480834744391,8.006368439376372e-06,0
-15,0.5,0,3,0.745217606036447,2.5571567144236793e-10,0
-15,0.5,1,1,0.7251930132920459,1.2392424859456382e-08,0
-15,0.5,1,2,0.8579011774658258,1.567850679372955e-05,0
-15,0.5,1,3,0.765250906542392,8.132879985487832e-08,0
0,0.1,0,1,0.7931444004367758,8.012445487546566e-12,0
0,0.1,0,2,0.9547387317829678,0.00043294192376689685,0
0,0.1,0,3,0.7999597442137538,1.3398628816938414e-11,0
0,0.1,1,1,0.7583501208026566,3.520930003730737e-13,0
0,0.1,1,2,0.9069369868432142,2.397994424552224e-07,0
0,0.1,1,3,0.8088234541106816,1.4445583230124e-11,0
0,0.25,0,1,0.7966690590776687,2.567120180480886e-11,0
0,0.25,0,2,0.9252763301023175,7.4763296089745425e-06,0
0,0.25,0,3,0.8157954065803266,1.1036976595412641e-10,0
0,0.25,1,1,0.7394082593805686,2.287799733325189e-13,0
0,0.25,1,2,0.9199413119399633,2.1945998117168922e-06,0
0,0.25,1,3,0.8368421073596055,3.0498117734982013e-10,0
0,0.5,0,1,0.7797061498994704,1.140550693210513e-11,0
0,0.5,0,2,0.882916889255016,6.604028820511127e-08,0
0,0.5,0,3,0.8222463269700722,2.685397987033629e-10,0
0,0.5,1,1,0.7733203609694765,4.880882835665413e-12,0
0,0.5,1,2,0.9050273803406562,5.711636738743615e-07,0
0,0.5,1,3,0.8200327469381227,1.5454309051421373e-10,0
9,0.1,0,1,0.7702600305658016,1.353657223120938e-12,0
9,0.1,0,2,0.9356744155377632,1.7644389560631585e-05,0
9,0.1,0,3,0.7590501383975194,6.282571395190859e-13,0
9,0.1,1,1,0.713047420516447,9.728945038573778e-15,0
9,0.1,1,2,0.9429343527035978,2.9448164443906805e-05,0
9,0.1,1,3,0.7880718470864883,1.5656918505806164e-12,0
9,0.25,0,1,0.7065766576201584,3.597723992718802e-14,0
9,0.25,0,2,0.9106378631821334,7.156740435889739e-07,0
9,0.25,0,3,0.7984942647287471,1.5440020646770016e-11,0
9,0.25,1,1,0.7104325529742397,6.030361023467974e-14,0
9,0.25,1,2,0.9085907649890697,6.651933807150448e-07,0
9,0.25,1,3,0.8208812122907717,1.1419205109983478e-10,0
9,0.5,0,1,0.7672446830226156,2.145520360405832e-12,0
9,0.5,0,2,0.8820953076512952,3.242287699028201e-08,0
9,0.5,0,3,0.7991428632647153,2.0932243772808252e-11,0
9,0.5,1,1,0.7436120344776389,2.605538297629974e-13,0
9,0.5,1,2,0.9072504598031713,3.913434160679632e-07,0
9,0.5,1,3,0.8394509733428712,3.4138499004112035e-10,0
