Duration,Direction,Levene_W,p_value,Homoscedasticity_OK
0.1,0.0,5.4255078296962465,0.004697607845534476,0
0.1,1.0,8.455317247542451,0.00024869042408110767,0
1.0,0.0,0.25218070563728684,0.7772147823673856,1
1.0,1.0,0.10013440860215057,0.9047360966159397,1
2.0,0.0,0.5162514436561624,0.5971086860087483,1
2.0,1.0,0.6029459371965035,0.5476416661206013,1
