Temperature,Duration,Direction,Shapiro_W,p_value,Normality_OK
-15.0,0.1,0.0,0.6332279804990357,8.719514514748969e-18,0
-15.0,0.1,1.0,0.6332279804990357,8.719514514748969e-18,0
-15.0,1.0,0.0,0.3900313604260549,2.1676782772165103e-22,0
-15.0,1.0,1.0,0.3288437822759608,2.552070224353921e-23,0
-15.0,2.0,0.0,0.35487080273890037,6.219418258341133e-23,0
-15.0,2.0,1.0,0.36707262618749326,9.53415885686388e-23,0
0.0,0.1,0.0,0.5754079556875392,4.719300344312379e-19,0
0.0,0.1,1.0,0.5569226404273626,1.9781953362748333e-19,0
0.0,1.0,0.0,0.4212763793463523,6.89361557922216e-22,0
0.0,1.0,1.0,0.35487080273890037,6.219418258341133e-23,0
0.0,2.0,0.0,0.36707262618749326,9.53415885686388e-23,0
0.0,2.0,1.0,0.300348864392469,9.918935304978007e-24,0
9.0,0.1,0.0,0.6347855434776534,9.475629563670542e-18,0
9.0,0.1,1.0,0.6361453674378683,1.0191359857379627e-17,0
9.0,1.0,0.0,0.3787823838921889,1.4452671072482815e-22,0
9.0,1.0,1.0,0.3288437822759608,2.552070224353921e-23,0
9.0,2.0,0.0,0.300348864392469,9.918935304978007e-24,0
9.0,2.0,1.0,0.36707262618749315,9.53415885686388e-23,0
