participantNumber,trialNumber,location,thermal,feltIllusion
19,1,0.9166667,-1,1
19,2,0.3304167,0,0
19,3,0.9081945,-1,1
19,4,0.8331945,0,0
19,5,0.8304167,1,1
19,6,0.8359722,-1,1
19,7,0.83875,1,1
19,8,0.8943056,1,1
19,9,0.9109722,1,1
19,10,0.07222223,1,1
19,11,0.3915278,0,0
19,12,0,1,0
19,13,0,0,0
19,14,0.005555556,0,0
19,15,0,-1,1
19,16,0.3609723,0,0
19,17,0,0,0
19,18,0,1,1
19,19,0.4193056,-1,1
19,20,0,0,0
19,21,0,1,1
19,22,0,1,1
19,23,0.6970834,-1,1
19,24,0,-1,1
19,25,0,-1,1
19,26,0.6693056,0,0
19,27,0.7804167,-1,1
19,28,0.7970834,1,0
19,29,0.6915278,-1,1
19,30,0.7970834,-1,1
19,31,0,0,0
19,32,0.2359723,-1,1
19,33,0.5915278,0,0
19,34,0.7831945,0,0
19,35,0,0,0
19,36,0.6776389,0,0
19,37,0.7026389,1,1
19,38,0.6970834,1,1
19,39,0.7443056,0,0
19,40,0,0,0
19,41,0,0,0
19,42,0.3526389,0,0
19,43,0.6831945,0,0
19,44,0.6831945,1,1
19,45,0,-1,0
19,46,0.6554167,0,0
19,47,0.7109722,1,1
19,48,0,-1,0
19,49,0,1,1
19,50,0.6861111,0,0
19,51,0,1,0
19,52,0.7970834,1,1
19,53,0,-1,1
19,54,0.5776389,0,0
19,55,0.6026389,0,0
19,56,0,0,0
19,57,0.6693056,0,0
19,58,0,0,0
19,59,0,1,1
19,60,0,-1,1
19,61,0.6026389,0,0
19,62,0.6665278,1,1
19,63,0,1,1
19,64,0.6665278,0,0
19,65,0.6915278,0,0
19,66,0,0,0
19,67,0.6748611,-1,0
19,68,0,0,0
19,69,0,1,1
19,70,0.6637501,-1,1
19,71,0.7222222,0,0
19,72,0.7193056,-1,1
19,73,0,0,0
19,74,0.7055556,1,1
19,75,0.7165278,1,1
19,76,0,1,0
19,77,0,0,0
19,78,0.6805556,1,1
19,79,0.6777778,0,0
19,80,0,1,1
19,81,0,1,1
19,82,0.6916667,0,0
19,83,0,-1,0
19,84,0,1,0
19,85,0.6277778,0,0
19,86,0,0,0
19,87,0.6972222,1,0
19,88,0,0,0
19,89,0.7277778,-1,1
19,90,0,1,0
19,91,0.7555556,0,0
19,92,0.7944444,1,1
19,93,0.6861111,1,1
19,94,0,1,1
19,95,0.6361111,0,0
19,96,0.5805556,1,1
19,97,0.15,0,0
19,98,0,1,1
19,99,0.6333333,0,0
19,100,0.7277778,-1,1
19,101,0.7166666,-1,1
19,102,0,1,0
19,103,0.7583333,1,1
19,104,0,0,0
19,105,0,-1,1
19,106,0,0,0
19,107,0.6416667,0,0
19,108,0.7861111,0,1
19,109,0,1,1
19,110,0,1,1
19,111,0.6555555,-1,1
19,112,0,0,0
19,113,0.6361111,1,1
19,114,0.6888889,0,1
19,115,0.7138889,0,0
19,116,0,1,1
19,117,0.6415278,-1,0
19,118,0.6276389,1,1
19,119,0,0,0
19,120,0,1,1
19,121,0.6222222,0,0
19,122,0,0,0
19,123,0.6833333,0,0
19,124,0.7527778,1,1
19,125,0.6859723,0,0
19,126,0.625,1,1
19,127,0,1,1
19,128,0.6388889,0,0
19,129,0.6111111,1,1
19,130,0,0,0
19,131,0.5943056,0,0
19,132,0,-1,0
19,133,0.7776389,1,1
19,134,0.6776389,-1,1
19,135,0,1,1
19,136,0,0,0
19,137,0.6444445,1,1
19,138,0.7027778,0,0
19,139,0,0,0
19,140,0.6694444,-1,1
19,141,0.7416667,1,0
19,142,0,-1,0
19,143,0.55,1,1
19,144,0.7222222,0,0
19,145,0,-1,0
19,146,0,0,0
19,147,0.575,0,0
19,148,0.6472222,0,0
19,149,0.6972222,1,1
19,150,0.5833333,0,0
19,151,0.6944444,0,0
19,152,0.06097225,0,0
19,153,0.6831945,0,0
19,154,0,-1,0
19,155,0.7444444,-1,1
19,156,0,1,0
19,157,0.7277778,1,1
19,158,0.7109722,-1,1
19,159,0.7388889,0,0
19,160,0.6083333,1,1
19,161,0.6555555,0,0
19,162,0.7472222,-1,1
19,163,0,-1,0
19,164,0.7277778,-1,1
19,165,0.7527778,0,0
19,166,0.7527778,-1,1
19,167,0,1,0
19,168,0.73875,1,1
19,169,0,-1,0
19,170,0.7555556,1,0
19,171,0.6722222,-1,1
19,172,0.6166667,1,1
19,173,0.6861111,-1,1
19,174,0.6970834,0,0
19,175,0,-1,0
19,176,0.6111111,-1,1
19,177,0.5611111,-1,1
19,178,0,-1,1
19,179,0.7026389,1,1
19,180,0,0,0
