Participant,Temperature,Duration,Location,,,,,
17,-12,0.5,0.5,,142,0.4916667,-1,0
17,0,0.5,0.25,,143,0.1972222,0,0
17,-12,0.1,0.25,,144,0.2055556,-1,0
17,6,0.1,0,,145,0.1111111,1,0
17,9,0.5,0.5,,146,0.4194444,1,1
17,0,0.1,0.75,,147,0.8611111,0,0
17,-15,0.5,0.5,,148,0.4611111,-1,0
17,0,0.1,1,,149,1,0,0
17,-15,1,1,,150,1,-1,1
17,6,0.1,0.25,,151,0.4805556,1,0
17,-15,0.5,0.25,,152,0,-1,0
17,6,1,0,,153,0,1,1
17,-12,0.1,0.5,,154,0.4611111,-1,0
17,6,1,0.25,,155,0.1194444,1,1
17,-12,0.5,0,,156,0,-1,0
17,0,0.1,0.25,,157,0.475,0,0
17,-12,0.1,0.25,,158,0.4111111,-1,0
17,0,1,0.5,,159,0.4416667,0,0
17,-15,1,0.5,,160,0.5,-1,1
17,9,1,1,,161,1,1,1
17,6,0.1,0.5,,162,0.5055556,1,0
17,-12,0.1,1,,163,0.8388889,-1,0
17,6,1,0.75,,164,0.9166667,1,1
17,9,0.5,0.25,,165,0.1833333,1,0
17,9,1,0,,166,0,1,1
17,0,0.1,0.25,,167,0,1,0
17,0,0.5,1,,168,0.9722222,0,0
17,0,0.1,0.5,,169,0.5138889,0,0
17,0,1,0,,170,0,0,0
17,6,1,0.75,,171,0.9165278,1,1
17,9,0.5,0.25,,172,0,1,1
17,0,1,0.25,,173,0.4638889,1,1
17,0,1,0.75,,174,0.9194444,0,0
17,-15,1,0.75,,175,1,-1,0
17,0,0.5,0.5,,176,0.5361112,1,0
17,-12,0.5,1,,177,1,-1,1
17,9,1,0.75,,178,0.55,1,1
17,-12,0.1,1,,179,0.68875,-1,0
17,9,0.1,0.75,,180,0.7944444,1,0
17,0,0.1,0.5,,181,0.4943056,0,0
17,-15,0.5,0,,182,0.5333334,-1,0
17,-15,0.5,0,,183,0.5111111,-1,0
17,9,0.1,0,,184,0.4361111,1,0
17,6,1,0.25,,185,0.5109723,1,1
17,6,0.1,0.25,,186,0.6611111,1,0
17,9,1,0,,187,0,1,0
17,-12,0.1,0.75,,188,0.2805555,-1,0
17,-12,0.5,0.25,,189,0.8611111,-1,0
17,0,0.5,0,,190,0.4277778,-1,0
17,6,0.1,0.75,,191,0.4527778,1,0
17,-15,0.1,0.75,,192,0.4361111,-1,0
17,-15,0.5,0.5,,193,0.4583333,-1,1
17,6,1,1,,194,1,1,1
17,6,1,0,,195,0,1,0
17,0,0.5,0.75,,196,0.9638889,0,0
17,-15,0.5,0.75,,197,0.9222222,-1,0
17,6,0.5,0.25,,198,0.2416667,1,0
17,0,0.5,0.25,,199,0.4388889,0,0
17,-12,0.1,1,,200,0.925,-1,0
17,0,0.5,0.5,,201,0.8416666,0,0
17,-15,0.5,1,,202,0.9666666,-1,1
17,9,0.1,0,,203,0.05555556,1,0
17,-12,1,0,,204,0.1805556,-1,0
17,0,1,1,,205,1,0,0
17,9,0.5,1,,206,1,1,1
17,0,1,1,,207,1,0,0
17,9,0.1,1,,208,0.9472222,1,0
