Temperature,Duration,Location,Shapiro_W,p_value,Normality_OK
-15.0,0.1,0.0,0.8136181303324134,7.153903309039917e-06,0
-15.0,0.1,0.25,0.8576272924876673,3.48799329786489e-05,0
-15.0,0.1,0.5,0.9187128953642689,0.005494101687501121,1
-15.0,0.1,0.75,0.8995461748704668,0.0007989417578661663,0
-15.0,0.1,1.0,0.8147008406672489,6.1978285697507515e-06,0
-15.0,1.0,0.0,0.8085569099637331,7.884677858049171e-07,0
-15.0,1.0,0.25,0.9218914016387726,0.0009146227926126213,0
-15.0,1.0,0.5,0.9377264808260104,0.005664291503494801,1
-15.0,1.0,0.75,0.9388154319164703,0.009132546311821052,1
-15.0,1.0,1.0,0.7167087000462122,2.8762723278662246e-09,0
-15.0,2.0,0.0,0.7637395047648746,1.7409395065509012e-07,0
-15.0,2.0,0.25,0.8965134754257527,0.00024621338258866996,0
-15.0,2.0,0.5,0.9363065312345823,0.006557837824704374,1
-15.0,2.0,0.75,0.8972313638729704,0.00022789078304839166,0
-15.0,2.0,1.0,0.7905068993477935,2.011299727701142e-07,0
0.0,0.1,0.0,0.6894994451268347,8.662498382808889e-10,0
0.0,0.1,0.25,0.8178609397321255,3.2637684957065064e-07,0
0.0,0.1,0.5,0.9211288324978251,0.0007643859841168067,0
0.0,0.1,0.75,0.8033755134517121,3.384479593754136e-07,0
0.0,0.1,1.0,0.7325280877666587,2.1446434969712585e-08,0
0.0,1.0,0.0,0.8404600761880716,1.6115810797364168e-06,0
0.0,1.0,0.25,0.9047974100068389,0.00013745388715871352,0
0.0,1.0,0.5,0.9599504300866644,0.05662398869478685,1
0.0,1.0,0.75,0.9274370136694966,0.0035733055472738254,0
0.0,1.0,1.0,0.8171426174666834,1.2815745281830754e-06,0
0.0,2.0,0.0,0.6315750625447296,5.232982344725509e-11,0
0.0,2.0,0.25,0.9001175573806095,0.00013283761246069876,0
0.0,2.0,0.5,0.95729922459711,0.0425787455420435,1
0.0,2.0,0.75,0.931278890096599,0.004104236978293149,0
0.0,2.0,1.0,0.8752032004710113,3.795193690262748e-05,0
9.0,0.1,0.0,0.7437011649428966,2.888521589160427e-08,0
9.0,0.1,0.25,0.8608595671932741,1.0215479795942698e-05,0
9.0,0.1,0.5,0.9214524710112865,0.0015180015932323991,0
9.0,0.1,0.75,0.8437443124742018,1.489559496308749e-05,0
9.0,0.1,1.0,0.8253768939867214,5.132887771461434e-06,0
9.0,1.0,0.0,0.7796100633008038,2.989194055314484e-08,0
9.0,1.0,0.25,0.9064601403242495,0.00022809455564681456,0
9.0,1.0,0.5,,1.0,1
9.0,1.0,0.75,0.8895550892942425,3.765182795540554e-05,0
9.0,1.0,1.0,0.8307524489641468,1.018280951344658e-06,0
9.0,2.0,0.0,0.7358736228444157,3.8072326410096695e-09,0
9.0,2.0,0.25,0.920854819667579,0.0007449377683598277,0
9.0,2.0,0.5,0.9425010243845143,0.008350940875993187,1
9.0,2.0,0.75,0.8965526606101946,0.00011227736647372487,0
9.0,2.0,1.0,0.7200172379096403,2.2005277576365163e-09,0
