T-15.0_D0.1_L0.0,T-15.0_D0.1_L0.25,T-15.0_D0.1_L0.5,T-15.0_D0.1_L0.75,T-15.0_D0.1_L1.0,T-15.0_D1.0_L0.0,T-15.0_D1.0_L0.25,T-15.0_D1.0_L0.5,T-15.0_D1.0_L0.75,T-15.0_D1.0_L1.0,T-15.0_D2.0_L0.0,T-15.0_D2.0_L0.25,T-15.0_D2.0_L0.5,T-15.0_D2.0_L0.75,T-15.0_D2.0_L1.0,T0.0_D0.1_L0.0,T0.0_D0.1_L0.25,T0.0_D0.1_L0.5,T0.0_D0.1_L0.75,T0.0_D0.1_L1.0,T0.0_D1.0_L0.0,T0.0_D1.0_L0.25,T0.0_D1.0_L0.5,T0.0_D1.0_L0.75,T0.0_D1.0_L1.0,T0.0_D2.0_L0.0,T0.0_D2.0_L0.25,T0.0_D2.0_L0.5,T0.0_D2.0_L0.75,T0.0_D2.0_L1.0,T9.0_D0.1_L0.0,T9.0_D0.1_L0.25,T9.0_D0.1_L0.5,T9.0_D0.1_L0.75,T9.0_D0.1_L1.0,T9.0_D1.0_L0.0,T9.0_D1.0_L0.25,T9.0_D1.0_L0.5,T9.0_D1.0_L0.75,T9.0_D1.0_L1.0,T9.0_D2.0_L0.0,T9.0_D2.0_L0.25,T9.0_D2.0_L0.5,T9.0_D2.0_L0.75,T9.0_D2.0_L1.0
0.0,0.8165278,0.1002038,0.9055555,0.94295621,0.29430560000000006,0.5109723,1.0,0.1229194,0.9526389000000001,0.0,0.6776389,0.0956604,0.9304167,1.0,0.2526389,0.0502292,0.08875003,0.94068467,0.7443056,0.0,0.48875,0.4693056,0.5359722,0.6693056000000001,0.32763889999999996,0.21375,0.0774879,0.5609723,0.7887500000000001,0.26097230000000005,0.2583333,0.2944444,0.95580444,0.8831945,0.56375,0.1206478,0.3220834,0.6415278,1.0,0.0859723,0.2748612,0.7859722,0.7526389,0.83875
0.01615537,0.0820309,0.1592644,0.9137501,0.8543651,0.6387501,0.86375,0.7720833,0.8952532,1.0,0.1456349,0.065349,0.5,0.90206806,0.90888299,0.1081945,0.1047468,0.6220834,0.96340026,1.0,0.41374999999999995,0.2694444,0.4304167,0.6443056,0.95885726,0.1365489,0.3970834,0.0843024,0.8304167,0.6415278,0.0343282,0.2944444,0.5387501,0.97475827,0.9565857,0.0693056,0.1229194,0.054772,0.95658569,0.6055556,0.3081945,0.0,0.0706729,0.8470834,0.8804167
0.236498,0.0933889,1.0,0.86375,0.9929308,0.3081945,0.9406847,0.6109723,0.1865231,0.9776389,0.1274625,0.0456858,0.8452789,0.166079,1.0,0.1693056,0.0865743,0.4831945,0.96567179,1.0,0.166079,0.3776389,0.1638075,0.7725884,1.0,0.086574,0.1206478,0.2342262,0.6109723,0.8804167,0.118376,0.7887501,0.0820312,0.9861159,0.91796912,0.1388204,0.1569929,0.0797594,0.91115417,0.92705553,0.0956604,0.0933889,0.1161045,0.8831945,0.8526389
1.0,0.0956604,0.9588572,0.0229703,0.9793013,0.0615869,0.113833,0.9066111,0.997473816,1.0,0.04341436,0.0615869,1.0,0.0888458,0.98838771,0.0,0.129734,0.4220834,0.93614161,0.8952532,0.209239,0.05931532,0.161536,0.2501271,0.8679945,0.150178,0.0502289,0.1342773,0.4998612,0.9693056,0.0661299,0.2304167,0.118376,0.91569722,1.0,0.0956604,0.0,0.1910665,0.91342569,0.90206811,0.1161045,0.8967438,0.0,0.8884386,0.96340064
0.0,0.102475,0.6976264,0.0797594,0.9929308,0.1002035,0.0502289,0.0070692,0.9429562,0.8430071,0.08203095,0.1002035,0.8475501,0.1206475,1.0,0.0797594,0.1638076,0.1842515,0.8361925,0.94068472,0.1274624,0.0956604,0.8180199,0.854365,0.9793013,0.113833,0.1547214,0.7271572,0.9611291,0.81802,0.0843024,0.2193056,0.0752164,0.8838955,1.0,0.0661299,0.04114279,0.8793525,0.93387013,0.9634003,0.0843028,0.0,0.1706221,0.1569929,1.0
0.128467,1.0,0.1524496,0.0752164,0.7407864,0.1403106,0.0979319,0.1320055,0.9247836,1.0,0.07748786,0.09793191,0.1797085,0.7339718,0.8157485,0.0729448,0.2682997,0.1638075,0.9906592,0.5,0.1842515,0.1524499,0.1547214,1.0,0.8134765,0.1274624,0.0,0.3864214,0.102475,0.91569725,0.01388381,0.0479574,0.1638075,1.0,0.9838443,0.150178,0.1274624,0.3568912,1.0,0.8271064,0.0911173,0.09793197,0.3750637,1.0,1.0
0.134277,0.1577742,1.0,1.0,0.8634513,0.01842684,0.5,0.1251909,0.8180199,0.92932671,0.0,0.07975939,0.3682488,0.9815728,1.0,0.0,0.0,0.1547211,0.8498216,1.0,0.1592645,0.1047468,0.9883877,1.0,0.9641815,0.1092899,0.08884587,0.5,0.8793522,1.0,0.06612989,0.0025262,0.8634515,0.8430071,1.0,0.1797086,0.2773862,0.9338698,1.0,0.954314,0.177437,0.5,0.9838447,0.1569926,1.0
0.3387183,0.03659973,0.6317512,0.6998979,0.9429562,0.1751655,0.1910665,1.0,0.9338698,1.0,0.0,0.3432617,0.6453806,1.0,1.0,0.0,0.0,0.93614163,0.8929815,1.0,0.1251909,0.2864726,0.5,0.949771,0.9384131,0.0,0.07294452,0.5,0.1388204,0.8520935,0.3796068,0.1062371,0.6203932,1.0,1.0,0.04795742,0.22514,0.7680454,0.897525,0.870266,0.009340798,0.2910153,0.8271064,0.7430583,1.0
0.3841498,0.5,0.4136804,0.8089335,1.0,0.2705716,0.2228682,0.9361416,0.7294288,1.0,0.0,0.1660791,0.3546197,1.0,0.7915421,0.0,0.161536,0.9250383,0.5,1.0,0.1509593,0.09111737,0.2092391,0.908883,0.8316491,0.1092896,0.161536,0.220597,0.833921,1.0,0.1259722,0.0138841,0.5,0.7953044,0.5,0.1592645,0.1683509,0.1751651,0.9361416,0.9225121,0.009340763,0.5,0.9770297,0.2228682,0.9270554
0.2001525,0.0,0.5817766,0.2319546,0.8611796,0.0,0.134277,0.5,0.865723,0.9770296,0.0,0.0,0.5,0.3932362,0.6022207,0.1524499,0.5,0.3864217,0.7862179,1.0,0.04795774,0.5,0.5,1.0,0.5,0.0,0.1683509,0.1206479,0.8929815,0.9293267,0.0,0.03205673,0.9429562,0.7339717,0.7892707,0.2614851,0.2614848,0.5,0.8566365,1.0,0.09189864,0.0,0.0,1.0,0.9315985
