Duration,Location,Levene_W,p_value,Homoscedasticity_OK
0.1,0.0,0.9558951681713117,0.3867818132739611,1
0.1,0.25,3.5236413258761274,0.03175846542562713,1
0.1,0.5,0.8770303136438606,0.41807059561773685,1
0.1,0.75,0.04473686835193157,0.9562620821493266,1
0.1,1.0,0.2725349704472941,0.7618469862849593,1
1.0,0.0,5.73721352617898,0.003872130441653753,0
1.0,0.25,8.191500727209934,0.0003937087410097107,0
1.0,0.5,,,0
1.0,0.75,3.3098226185350152,0.03896259794491289,1
1.0,1.0,0.36095151023630107,0.6975552230302364,1
2.0,0.0,1.8083389669692533,0.16712123202343154,1
2.0,0.25,7.05069146764665,0.001141934544717914,0
2.0,0.5,0.31335477188996197,0.7314219643655016,1
2.0,0.75,4.861912995451199,0.008886401549207352,1
2.0,1.0,0.09770075005242417,0.9069720580916951,1
