Participant,Temperature,Duration,Direction
9,0,0.5,0
9,-15,0.5,1
9,9,0.1,1
9,-15,0.1,1
9,-15,0.25,1
9,-15,0.5,1
9,0,0.1,0
9,9,0.1,1
9,9,0.5,0
9,-15,0.25,1
9,0,0.5,1
9,9,0.5,0
9,9,0.25,0
9,9,0.5,0
9,9,0.5,1
9,0,0.25,0
9,-15,0.25,0
9,0,0.5,1
9,9,0.25,1
9,9,0.25,0
9,-15,0.1,1
9,-15,0.1,1
9,-15,0.1,0
9,0,0.1,1
9,9,0.1,1
9,-15,0.5,1
9,-15,0.25,0
9,-15,0.5,1
9,-15,0.1,1
9,0,0.1,1
9,9,0.25,1
9,9,0.1,1
9,0,0.25,1
9,-15,0.1,1
9,9,0.5,1
9,0,0.1,1
9,9,0.1,1
9,-15,0.1,0
9,-15,0.1,0
9,9,0.5,1
9,0,0.5,0
9,0,0.1,1
9,9,0.1,0
9,9,0.25,1
9,0,0.25,0
9,9,0.25,0
9,0,0.25,1
9,9,0.25,0
9,-15,0.5,1
9,9,0.1,1
9,9,0.5,0
9,9,0.1,1
9,9,0.5,0
9,-15,0.25,1
9,-15,0.5,1
9,-15,0.25,1
9,9,0.25,1
9,9,0.25,0
9,-15,0.25,1
9,9,0.1,0
9,-15,0.1,1
9,-15,0.1,0
9,-15,0.1,1
9,9,0.1,1
9,-15,0.5,0
9,9,0.25,1
9,0,0.1,1
9,9,0.1,0
9,-15,0.1,0
9,-15,0.5,0
9,0,0.1,1
9,0,0.25,0
9,0,0.25,0
9,9,0.25,1
9,9,0.25,0
9,-15,0.5,0
9,-15,0.5,0
9,0,0.5,1
9,9,0.25,1
9,-15,0.5,1
9,0,0.25,1
9,0,0.5,0
9,-15,0.5,0
9,0,0.5,1
9,9,0.5,1
9,-15,0.1,1
9,0,0.25,1
9,0,0.25,1
9,-15,0.25,0
9,0,0.1,0
9,0,0.5,1
9,-15,0.25,0
9,9,0.25,0
9,0,0.1,0
9,-15,0.25,1
9,-15,0.25,1
9,-15,0.25,0
9,-15,0.5,1
9,0,0.1,0
9,-15,0.1,0
9,0,0.5,0
9,0,0.25,0
9,0,0.5,1
9,0,0.1,0
9,0,0.5,0
9,9,0.5,0
9,9,0.1,1
9,9,0.5,1
9,9,0.5,1
9,0,0.1,1
9,-15,0.1,0
9,9,0.25,0
9,9,0.1,0
9,0,0.1,1
9,0,0.25,1
9,-15,0.5,0
9,0,0.5,0
9,9,0.5,0
9,-15,0.1,0
9,-15,0.1,1
9,0,0.25,1
9,9,0.1,0
9,-15,0.5,1
9,9,0.25,0
9,0,0.25,0
9,-15,0.5,0
9,9,0.1,0
9,0,0.1,0
9,0,0.5,0
9,-15,0.5,0
9,0,0.25,1
9,9,0.25,1
9,0,0.5,1
9,0,0.25,0
9,0,0.1,1
9,-15,0.25,1
9,0,0.1,0
9,9,0.5,1
9,9,0.25,1
9,9,0.5,1
9,0,0.5,1
9,-15,0.5,1
9,0,0.25,1
9,9,0.5,0
9,-15,0.5,0
9,-15,0.25,1
9,0,0.1,1
9,0,0.1,0
9,0,0.5,0
9,-15,0.25,0
9,-15,0.25,1
9,9,0.1,0
9,-15,0.1,0
9,0,0.5,1
9,0,0.25,1
9,-15,0.1,1
9,9,0.5,0
9,-15,0.25,0
9,0,0.1,0
9,9,0.25,1
9,0,0.25,0
9,-15,0.5,0
9,9,0.1,1
9,-15,0.1,0
9,9,0.25,0
9,9,0.5,0
9,-15,0.25,0
9,9,0.1,0
9,0,0.25,0
9,0,0.1,0
9,0,0.5,0
9,9,0.5,1
9,0,0.5,0
9,-15,0.25,0
9,9,0.1,0
9,9,0.5,1
9,0,0.5,1
9,0,0.25,0
9,-15,0.25,0
9,9,0.1,0
