Participant,Temperature,Duration,Direction
18,-15,0.4,0
18,-15,0.2,1
18,9,0.1,1
18,6,0.4,0
18,-12,0.5,1
18,9,0.4,1
18,0,0.1,1
18,-12,0.5,1
18,9,0.5,1
18,6,0.2,1
18,-15,0.3,1
18,-15,0.2,1
18,9,0.2,0
18,6,0.3,0
18,6,0.1,1
18,9,0.5,0
18,6,0.1,0
18,9,0.1,0
18,-15,0.3,0
18,9,0.1,1
18,0,0.2,0
18,9,0.2,0
18,-12,0.1,0
18,9,0.3,1
18,-12,0.3,0
18,0,0.1,1
18,0,0.3,0
18,-12,0.1,0
18,9,0.4,0
18,9,0.4,1
18,9,0.5,0
18,-12,0.2,0
18,9,0.5,1
18,6,0.5,0
18,6,0.5,1
18,0,0.5,0
18,-15,0.5,0
18,0,0.2,1
18,-12,0.1,1
18,9,0.2,1
18,6,0.4,1
18,-15,0.4,1
18,6,0.4,1
18,-15,0.5,1
18,-12,0.2,0
18,0,0.5,1
18,-15,0.2,0
18,-12,0.4,0
18,9,0.3,0
18,6,0.4,0
18,-12,0.4,0
18,-12,0.4,1
18,-12,0.5,0
18,9,0.1,0
18,0,0.5,1
18,-12,0.2,1
18,0,0.4,0
18,6,0.2,0
18,6,0.1,1
18,-15,0.1,1
18,6,0.2,1
18,-15,0.3,1
18,-12,0.2,1
18,6,0.5,0
18,0,0.3,0
18,0,0.5,0
18,0,0.1,0
18,6,0.3,1
18,-15,0.4,0
18,0,0.3,1
18,0,0.4,1
18,6,0.2,0
18,-12,0.1,1
18,6,0.3,1
18,6,0.5,1
18,-15,0.1,0
18,-12,0.3,0
18,-12,0.3,1
18,-15,0.5,0
18,-15,0.1,1
18,0,0.4,1
18,-15,0.2,0
18,0,0.3,1
18,0,0.1,0
18,9,0.2,1
18,-12,0.3,1
18,6,0.3,0
18,-12,0.5,0
18,-15,0.3,0
18,-15,0.5,1
18,6,0.1,0
18,-15,0.4,1
18,9,0.3,1
18,-12,0.4,1
18,9,0.3,0
18,0,0.2,1
18,9,0.4,0
18,0,0.2,0
18,-15,0.1,0
18,0,0.4,0
