Participant,Temperature,Duration,Direction
6,-15,0.5,0
6,0,0.5,0
6,0,0.5,1
6,9,0.1,0
6,-15,0.1,1
6,-15,0.1,0
6,0,0.1,0
6,-15,0.25,0
6,0,0.5,0
6,-15,0.25,0
6,0,0.5,1
6,-15,0.5,1
6,0,0.1,1
6,9,0.25,0
6,9,0.25,0
6,9,0.25,1
6,0,0.1,1
6,-15,0.25,0
6,9,0.1,0
6,0,0.5,0
6,0,0.25,1
6,-15,0.25,1
6,9,0.1,0
6,-15,0.1,0
6,0,0.1,1
6,0,0.1,1
6,9,0.5,1
6,-15,0.1,0
6,9,0.25,0
6,-15,0.5,0
6,-15,0.5,1
6,9,0.5,1
6,-15,0.5,0
6,-15,0.5,0
6,9,0.1,0
6,-15,0.25,0
6,-15,0.1,0
6,9,0.1,1
6,-15,0.25,0
6,-15,0.25,1
6,0,0.1,0
6,-15,0.25,1
6,9,0.5,0
6,9,0.25,0
6,-15,0.5,0
6,-15,0.1,1
6,9,0.1,1
6,0,0.5,1
6,9,0.25,0
6,9,0.5,0
6,9,0.25,1
6,-15,0.25,1
6,9,0.1,0
6,-15,0.5,1
6,-15,0.5,0
6,-15,0.25,0
6,0,0.25,1
6,-15,0.5,0
6,0,0.25,1
6,0,0.25,0
6,0,0.25,1
6,0,0.5,1
6,-15,0.5,1
6,-15,0.1,1
6,0,0.1,0
6,-15,0.5,1
6,-15,0.25,0
6,0,0.25,1
6,0,0.1,0
6,0,0.5,0
6,9,0.25,0
6,-15,0.5,1
6,9,0.1,0
6,-15,0.25,1
6,0,0.5,1
6,0,0.5,0
6,0,0.25,0
6,0,0.25,0
6,9,0.1,1
6,-15,0.1,1
6,-15,0.5,1
6,0,0.5,1
6,-15,0.1,0
6,9,0.25,1
6,-15,0.5,1
6,9,0.25,0
6,9,0.5,1
6,0,0.25,1
6,0,0.1,0
6,9,0.1,1
6,9,0.25,1
6,9,0.1,1
6,9,0.5,0
6,0,0.25,1
6,9,0.25,1
6,9,0.5,1
6,0,0.1,1
6,0,0.1,0
6,-15,0.25,1
6,9,0.25,1
6,9,0.5,0
6,0,0.5,1
6,-15,0.5,1
6,9,0.25,1
6,0,0.1,1
6,9,0.1,1
6,-15,0.1,0
6,0,0.25,1
6,9,0.5,1
6,9,0.1,0
6,0,0.25,1
6,-15,0.1,1
6,9,0.1,1
6,0,0.25,0
6,0,0.25,0
6,-15,0.1,1
6,-15,0.25,1
6,9,0.25,1
6,-15,0.1,0
6,0,0.1,0
6,9,0.5,0
6,9,0.5,0
6,9,0.1,1
6,0,0.5,0
6,0,0.5,1
6,9,0.25,0
6,-15,0.1,1
6,0,0.5,0
6,-15,0.5,0
6,-15,0.1,0
6,0,0.1,0
6,0,0.5,0
6,-15,0.25,0
6,9,0.5,0
6,-15,0.5,0
6,-15,0.1,1
6,-15,0.1,0
6,-15,0.1,1
6,-15,0.25,1
6,9,0.1,0
6,-15,0.25,0
6,9,0.25,0
6,9,0.25,1
6,9,0.5,0
6,9,0.1,0
6,0,0.25,0
6,-15,0.5,0
6,-15,0.25,0
6,9,0.5,0
6,9,0.5,1
6,0,0.5,0
6,9,0.25,1
6,-15,0.1,1
6,0,0.25,1
6,-15,0.25,1
6,9,0.1,0
6,0,0.5,1
6,9,0.5,0
6,9,0.1,1
6,0,0.1,1
6,9,0.5,1
6,0,0.25,0
6,0,0.1,0
6,0,0.1,1
6,-15,0.5,1
6,-15,0.1,0
6,0,0.25,0
6,0,0.5,0
6,0,0.5,1
6,-15,0.25,1
6,0,0.1,0
6,9,0.5,1
6,9,0.1,1
6,9,0.5,1
6,0,0.1,1
6,0,0.25,0
6,9,0.5,1
6,0,0.25,0
6,9,0.25,0
6,0,0.1,1
