Participant,Temperature,Duration,Direction
3,-15,0.5,0
3,0,0.1,1
3,9,0.25,1
3,-15,0.5,0
3,9,0.1,0
3,-15,0.25,0
3,-15,0.5,0
3,9,0.5,1
3,9,0.25,0
3,0,0.5,1
3,-15,0.1,0
3,-15,0.1,1
3,9,0.1,0
3,-15,0.5,0
3,9,0.5,0
3,9,0.5,1
3,-15,0.1,1
3,9,0.25,1
3,-15,0.1,0
3,9,0.1,1
3,-15,0.1,0
3,9,0.1,1
3,9,0.1,1
3,0,0.5,1
3,0,0.1,0
3,0,0.1,0
3,-15,0.5,1
3,0,0.1,1
3,0,0.25,1
3,-15,0.5,1
3,9,0.25,0
3,0,0.1,1
3,-15,0.25,1
3,9,0.5,1
3,9,0.25,1
3,9,0.1,1
3,9,0.1,0
3,0,0.25,1
3,9,0.25,1
3,0,0.5,0
3,0,0.25,0
3,-15,0.1,1
3,0,0.1,1
3,-15,0.5,0
3,-15,0.1,0
3,0,0.5,1
3,-15,0.5,0
3,9,0.5,0
3,9,0.5,1
3,0,0.5,0
3,0,0.1,0
3,-15,0.25,1
3,0,0.1,0
3,-15,0.25,1
3,0,0.5,1
3,0,0.1,0
3,9,0.5,0
3,-15,0.1,1
3,-15,0.25,1
3,9,0.25,0
3,0,0.5,0
3,-15,0.25,0
3,9,0.25,1
3,0,0.25,1
3,9,0.5,0
3,0,0.5,1
3,0,0.25,1
3,0,0.1,1
3,-15,0.5,1
3,0,0.1,1
3,-15,0.5,1
3,-15,0.25,0
3,9,0.5,1
3,0,0.25,1
3,9,0.1,0
3,-15,0.1,0
3,9,0.1,1
3,9,0.1,1
3,0,0.25,0
3,0,0.25,1
3,0,0.1,0
3,-15,0.5,1
3,9,0.5,1
3,-15,0.25,0
3,9,0.25,1
3,-15,0.1,0
3,9,0.5,0
3,0,0.1,0
3,0,0.5,0
3,9,0.25,1
3,9,0.1,1
3,-15,0.1,0
3,-15,0.25,1
3,0,0.5,1
3,9,0.25,0
3,9,0.5,1
3,0,0.5,0
3,-15,0.25,0
3,-15,0.25,0
3,0,0.25,0
3,-15,0.5,1
3,-15,0.5,1
3,9,0.1,1
3,9,0.25,0
3,-15,0.1,1
3,9,0.1,1
3,-15,0.5,0
3,-15,0.25,1
3,9,0.5,1
3,0,0.5,0
3,-15,0.25,1
3,9,0.25,0
3,-15,0.5,0
3,0,0.1,0
3,-15,0.25,1
3,9,0.1,0
3,0,0.1,0
3,-15,0.25,1
3,-15,0.1,0
3,9,0.25,0
3,0,0.5,1
3,0,0.1,1
3,0,0.5,1
3,-15,0.1,1
3,-15,0.25,0
3,-15,0.5,0
3,-15,0.25,0
3,0,0.1,1
3,9,0.1,0
3,-15,0.1,1
3,-15,0.1,1
3,0,0.1,0
3,0,0.5,1
3,9,0.1,0
3,9,0.5,1
3,0,0.25,0
3,0,0.5,0
3,9,0.25,1
3,9,0.25,1
3,-15,0.5,1
3,9,0.1,0
3,9,0.5,0
3,-15,0.1,1
3,-15,0.25,1
3,-15,0.1,0
3,0,0.25,0
3,-15,0.25,0
3,9,0.5,0
3,0,0.5,0
3,-15,0.5,1
3,0,0.5,0
3,9,0.1,0
3,9,0.1,0
3,0,0.25,0
3,9,0.25,0
3,-15,0.5,0
3,0,0.25,1
3,-15,0.25,0
3,0,0.5,1
3,0,0.25,1
3,9,0.5,0
3,9,0.5,0
3,9,0.5,0
3,9,0.25,0
3,0,0.25,0
3,0,0.25,0
3,0,0.25,1
3,0,0.5,0
3,9,0.5,1
3,-15,0.1,0
3,0,0.25,1
3,0,0.1,1
3,9,0.25,0
3,-15,0.1,1
3,0,0.1,1
3,0,0.25,0
3,9,0.25,1
3,9,0.1,1
3,0,0.25,0
3,-15,0.5,1
