participantNumber,trialNumber,feltThermal,feltMotion,feltDirection
4,1,-1,1,1
4,2,-1,1,1
4,3,0,0,0
4,4,1,1,0
4,5,-1,1,0
4,6,0,1,1
4,7,1,1,1
4,8,-1,1,0
4,9,1,1,1
4,10,1,1,1
4,11,1,1,1
4,12,1,1,1
4,13,1,1,1
4,14,-1,1,0
4,15,1,1,0
4,16,0,1,0
4,17,-1,1,0
4,18,-1,1,1
4,19,0,1,1
4,20,0,1,0
4,21,1,1,1
4,22,1,1,0
4,23,1,1,0
4,24,1,1,1
4,25,-1,1,1
4,26,0,1,1
4,27,-1,1,0
4,28,1,1,0
4,29,0,1,1
4,30,1,1,1
4,31,0,1,0
4,32,-1,1,1
4,33,-1,1,0
4,34,0,1,0
4,35,-1,1,0
4,36,-1,1,0
4,37,1,1,0
4,38,1,1,0
4,39,0,1,1
4,40,1,1,0
4,41,1,1,1
4,42,0,1,0
4,43,1,1,0
4,44,-1,1,0
4,45,-1,1,0
4,46,-1,1,0
4,47,1,1,1
4,48,1,1,1
4,49,1,1,1
4,50,1,1,1
4,51,0,1,1
4,52,-1,1,1
4,53,-1,1,0
4,54,1,1,1
4,55,-1,1,1
4,56,1,1,0
4,57,1,1,0
4,58,1,1,1
4,59,1,1,0
4,60,0,1,1
4,61,0,1,0
4,62,1,1,1
4,63,0,1,1
4,64,1,1,1
4,65,0,1,0
4,66,0,1,1
4,67,1,1,1
4,68,0,1,0
4,69,1,1,1
4,70,0,1,0
4,71,0,1,1
4,72,0,1,1
4,73,-1,1,0
4,74,0,1,1
4,75,1,1,1
4,76,-1,1,0
4,77,1,1,1
4,78,0,1,0
4,79,1,1,0
4,80,0,1,0
4,81,1,1,1
4,82,1,1,1
4,83,1,1,0
4,84,-1,1,1
4,85,0,1,0
4,86,0,1,1
4,87,0,1,1
4,88,0,1,1
4,89,0,1,0
4,90,1,1,1
4,91,1,1,0
4,92,-1,1,1
4,93,0,1,0
4,94,1,1,1
4,95,1,1,0
4,96,1,1,0
4,97,0,1,1
4,98,1,1,0
4,99,0,1,0
4,100,0,1,1
4,101,-1,1,1
4,102,0,1,1
4,103,0,1,0
4,104,1,1,0
4,105,-1,1,0
4,106,-1,1,1
4,107,1,1,0
4,108,0,1,1
4,109,0,1,0
4,110,1,1,1
4,111,-1,1,0
4,112,0,1,0
4,113,1,1,1
4,114,1,1,0
4,115,1,1,1
4,116,0,1,1
4,117,-1,1,1
4,118,1,1,0
4,119,-1,1,0
4,120,-1,1,1
4,121,0,1,0
4,122,-1,1,0
4,123,0,1,1
4,124,1,1,1
4,125,0,1,0
4,126,-1,1,1
4,127,0,1,1
4,128,0,1,1
4,129,-1,1,1
4,130,1,1,1
4,131,1,1,0
4,132,0,1,0
4,133,1,1,0
4,134,1,1,0
4,135,0,1,0
4,136,0,1,0
4,137,0,1,1
4,138,0,1,1
4,139,1,1,0
4,140,0,1,1
4,141,-1,1,1
4,142,-1,1,0
4,143,-1,1,1
4,144,0,1,0
4,145,1,1,1
4,146,0,1,0
4,147,0,1,0
4,148,-1,1,0
4,149,1,1,0
4,150,0,1,0
4,151,-1,1,1
4,152,0,1,1
4,153,0,1,1
4,154,-1,1,1
4,155,1,1,1
4,156,-1,1,1
4,157,0,1,0
4,158,-1,1,0
4,159,0,1,1
4,160,-1,1,1
4,161,1,1,0
4,162,0,1,1
4,163,0,1,0
4,164,0,1,0
4,165,0,1,1
4,166,1,1,0
4,167,-1,1,1
4,168,-1,1,1
4,169,-1,1,0
4,170,0,1,1
4,171,0,1,1
4,172,1,1,0
4,173,-1,1,0
4,174,0,1,0
4,175,0,1,0
4,176,-1,1,0
4,177,1,1,1
4,178,-1,1,1
4,179,1,1,0
4,180,0,1,1
