participantNumber,trialNumber,feltThermal,feltMotion,feltDirection
2,1,1,1,1
2,2,1,0,0
2,3,0,1,0
2,4,0,1,1
2,5,1,1,0
2,6,1,1,1
2,7,1,1,1
2,8,-1,1,1
2,9,1,1,1
2,10,-1,0,1
2,11,0,1,0
2,12,-1,1,0
2,13,0,1,0
2,14,-1,1,1
2,15,0,1,0
2,16,-1,1,0
2,17,0,1,0
2,18,-1,1,1
2,19,0,1,1
2,20,-1,1,1
2,21,0,1,0
2,22,0,1,1
2,23,0,1,1
2,24,-1,1,1
2,25,-1,1,0
2,26,0,1,0
2,27,0,1,1
2,28,-1,1,1
2,29,1,1,1
2,30,0,1,1
2,31,-1,1,1
2,32,0,1,0
2,33,1,1,0
2,34,0,1,0
2,35,0,1,1
2,36,1,1,1
2,37,0,1,1
2,38,0,1,0
2,39,1,1,0
2,40,-1,1,1
2,41,-1,1,0
2,42,1,1,1
2,43,-1,1,1
2,44,0,1,1
2,45,0,1,0
2,46,0,1,0
2,47,1,1,1
2,48,0,1,0
2,49,1,1,1
2,50,-1,1,1
2,51,1,1,1
2,52,1,1,1
2,53,0,1,1
2,54,0,1,0
2,55,0,1,1
2,56,-1,1,1
2,57,-1,1,0
2,58,-1,1,0
2,59,0,1,1
2,60,0,1,0
2,61,-1,1,1
2,62,-1,1,0
2,63,-1,1,0
2,64,0,1,0
2,65,1,1,0
2,66,-1,1,1
2,67,1,1,1
2,68,-1,1,1
2,69,-1,1,0
2,70,1,1,1
2,71,-1,1,0
2,72,1,1,1
2,73,0,1,0
2,74,1,1,0
2,75,1,1,1
2,76,1,1,0
2,77,-1,1,1
2,78,0,1,1
2,79,1,1,1
2,80,-1,1,0
2,81,-1,1,1
2,82,0,1,0
2,83,0,1,0
2,84,1,1,0
2,85,0,1,0
2,86,1,1,0
2,87,0,1,1
2,88,0,1,0
2,89,-1,1,0
2,90,1,1,1
2,91,0,1,1
2,92,-1,1,1
2,93,-1,1,1
2,94,0,1,1
2,95,1,1,0
2,96,0,1,0
2,97,0,1,0
2,98,1,1,1
2,99,1,1,1
2,100,0,1,0
2,101,1,1,0
2,102,1,1,0
2,103,0,1,1
2,104,1,1,0
2,105,0,1,1
2,106,0,1,0
2,107,1,1,0
2,108,0,1,0
2,109,-1,1,1
2,110,0,1,0
2,111,1,1,0
2,112,0,1,1
2,113,-1,1,0
2,114,0,1,0
2,115,1,1,0
2,116,1,1,1
2,117,0,1,0
2,118,0,1,0
2,119,-1,1,0
2,120,1,1,0
2,121,1,1,0
2,122,0,1,1
2,123,-1,1,0
2,124,1,1,1
2,125,0,1,1
2,126,-1,1,1
2,127,1,1,0
2,128,0,1,1
2,129,-1,1,1
2,130,0,1,0
2,131,0,1,0
2,132,0,1,1
2,133,-1,1,0
2,134,1,1,0
2,135,0,1,0
2,136,-1,1,1
2,137,1,1,0
2,138,1,1,0
2,139,1,1,1
2,140,0,1,1
2,141,1,1,0
2,142,0,1,0
2,143,1,1,0
2,144,1,1,1
2,145,-1,1,0
2,146,1,1,1
2,147,0,1,1
2,148,0,1,0
2,149,0,1,1
2,150,0,1,0
2,151,1,1,1
2,152,1,1,1
2,153,-1,1,0
2,154,0,1,0
2,155,0,1,0
2,156,1,1,0
2,157,0,1,1
2,158,1,1,0
2,159,0,1,1
2,160,-1,1,1
2,161,1,1,1
2,162,0,1,1
2,163,-1,1,0
2,164,0,1,1
2,165,-1,1,1
2,166,1,1,1
2,167,0,1,0
2,168,-1,1,0
2,169,-1,1,0
2,170,1,1,1
2,171,0,1,0
2,172,1,1,1
2,173,1,1,0
2,174,0,1,1
2,175,1,1,1
2,176,-1,1,0
2,177,1,1,1
2,178,0,1,0
2,179,-1,1,0
2,180,0,1,1
