participantNumber,trialNumber,feltThermal,feltMotion,feltDirection
10,1,1,0,0
10,2,1,0,0
10,3,1,0,0
10,4,0,0,0
10,5,0,0,0
10,6,0,0,1
10,7,0,0,1
10,8,0,1,0
10,9,-1,1,0
10,10,-1,0,0
10,11,0,0,1
10,12,-1,0,0
10,13,1,0,0
10,14,0,0,0
10,15,-1,1,1
10,16,-1,1,1
10,17,-1,1,1
10,18,-1,0,1
10,19,0,0,1
10,20,-1,1,0
10,21,-1,1,1
10,22,-1,0,1
10,23,-1,0,0
10,24,0,0,1
10,25,-1,1,0
10,26,1,0,0
10,27,0,0,1
10,28,-1,0,0
10,29,-1,1,0
10,30,-1,0,1
10,31,0,1,0
10,32,0,1,0
10,33,0,0,0
10,34,1,1,0
10,35,1,0,1
10,36,1,0,0
10,37,1,0,0
10,38,-1,0,0
10,39,1,1,1
10,40,-1,1,1
10,41,0,0,1
10,42,1,1,0
10,43,1,1,0
10,44,-1,0,0
10,45,1,0,0
10,46,-1,1,0
10,47,-1,1,0
10,48,1,1,0
10,49,-1,1,1
10,50,-1,1,0
10,51,0,1,0
10,52,1,0,1
10,53,-1,0,1
10,54,-1,0,0
10,55,1,1,1
10,56,-1,1,0
10,57,0,1,1
10,58,-1,1,1
10,59,0,1,0
10,60,0,1,1
10,61,0,1,0
10,62,1,1,0
10,63,-1,1,0
10,64,0,1,1
10,65,-1,1,1
10,66,0,1,0
10,67,0,1,1
10,68,1,1,0
10,69,0,1,1
10,70,0,1,1
10,71,-1,0,1
10,72,1,0,0
10,73,-1,1,1
10,74,1,0,1
10,75,1,1,0
10,76,1,1,1
10,77,0,0,1
10,78,1,1,0
10,79,0,0,0
10,80,-1,1,0
10,81,0,1,1
10,82,-1,0,0
10,83,0,1,1
10,84,1,1,0
10,85,1,1,1
10,86,1,1,1
10,87,-1,1,0
10,88,1,0,1
10,89,0,0,1
10,90,1,1,0
10,91,0,1,0
10,92,0,1,0
10,93,-1,1,1
10,94,1,1,0
10,95,-1,1,1
10,96,-1,1,1
10,97,0,0,0
10,98,-1,0,0
10,99,0,0,0
10,100,1,0,1
10,101,1,1,1
10,102,1,1,0
10,103,-1,0,0
10,104,0,1,1
10,105,-1,1,0
10,106,1,1,1
10,107,-1,1,0
10,108,0,1,1
10,109,0,0,0
10,110,-1,0,0
10,111,1,1,0
10,112,-1,1,0
10,113,-1,1,1
10,114,0,0,0
10,115,1,1,1
10,116,1,1,1
10,117,1,0,1
10,118,-1,0,0
10,119,1,1,1
10,120,0,0,1
10,121,1,0,0
10,122,0,0,1
10,123,1,0,1
10,124,1,1,1
10,125,-1,1,0
10,126,1,1,1
10,127,0,1,1
10,128,-1,1,1
10,129,0,1,0
10,130,0,1,1
10,131,1,1,0
10,132,-1,0,0
10,133,0,0,0
10,134,1,0,0
10,135,1,1,0
10,136,0,0,0
10,137,0,1,0
10,138,-1,1,0
10,139,-1,1,1
10,140,1,1,1
10,141,1,1,1
10,142,1,1,1
10,143,1,0,1
10,144,1,0,0
10,145,0,0,1
10,146,-1,0,1
10,147,0,1,1
10,148,1,0,0
10,149,-1,1,0
10,150,-1,1,1
10,151,1,0,0
10,152,0,0,1
10,153,-1,0,1
10,154,0,1,0
10,155,0,1,1
10,156,0,1,0
10,157,1,0,0
10,158,0,1,1
10,159,0,1,1
10,160,1,1,0
10,161,0,1,0
10,162,0,1,1
10,163,-1,1,0
10,164,0,1,0
10,165,-1,1,1
10,166,1,1,1
10,167,-1,1,0
10,168,-1,1,1
10,169,1,0,1
10,170,1,1,0
10,171,0,1,0
10,172,-1,1,1
10,173,-1,1,1
10,174,0,1,1
10,175,1,1,1
10,176,-1,1,1
10,177,1,0,0
10,178,-1,1,0
10,179,0,0,0
10,180,0,0,1
