participantNumber,trialNumber,feltThermal,feltMotion,feltDirection
6,1,0,0,0
6,2,0,1,1
6,3,0,1,0
6,4,-1,1,1
6,5,0,1,0
6,6,-1,1,1
6,7,-1,1,1
6,8,1,0,0
6,9,1,1,1
6,10,-1,0,0
6,11,0,1,1
6,12,-1,0,0
6,13,0,1,0
6,14,-1,1,1
6,15,0,1,0
6,16,1,0,0
6,17,1,1,0
6,18,1,0,1
6,19,1,1,1
6,20,1,1,0
6,21,0,0,1
6,22,1,1,0
6,23,1,1,0
6,24,1,1,0
6,25,1,1,0
6,26,-1,1,0
6,27,0,1,0
6,28,1,1,1
6,29,1,1,0
6,30,1,1,0
6,31,0,1,0
6,32,1,1,1
6,33,0,1,0
6,34,-1,0,1
6,35,1,0,0
6,36,-1,0,0
6,37,1,1,0
6,38,1,0,1
6,39,0,0,1
6,40,0,1,0
6,41,0,1,1
6,42,1,0,1
6,43,0,1,1
6,44,0,1,0
6,45,1,1,0
6,46,1,1,1
6,47,1,1,0
6,48,-1,0,0
6,49,-1,1,0
6,50,0,1,1
6,51,0,1,1
6,52,1,1,0
6,53,1,1,1
6,54,-1,0,0
6,55,0,1,1
6,56,1,1,1
6,57,0,1,1
6,58,1,1,1
6,59,0,1,1
6,60,1,1,1
6,61,-1,0,0
6,62,1,0,1
6,63,0,1,1
6,64,-1,1,1
6,65,1,1,0
6,66,-1,1,1
6,67,0,0,0
6,68,1,1,1
6,69,0,1,0
6,70,1,1,1
6,71,-1,1,0
6,72,-1,1,0
6,73,-1,1,1
6,74,0,1,1
6,75,1,1,0
6,76,0,1,0
6,77,1,1,1
6,78,1,1,1
6,79,0,1,1
6,80,-1,1,0
6,81,0,0,1
6,82,-1,1,1
6,83,-1,1,1
6,84,1,1,1
6,85,-1,0,1
6,86,-1,1,0
6,87,0,1,1
6,88,-1,0,0
6,89,-1,1,1
6,90,0,1,1
6,91,-1,1,1
6,92,-1,1,1
6,93,1,0,0
6,94,-1,1,0
6,95,1,1,1
6,96,0,0,0
6,97,1,0,0
6,98,0,1,0
6,99,-1,1,1
6,100,-1,1,1
6,101,0,1,1
6,102,1,1,0
6,103,-1,1,0
6,104,0,0,0
6,105,-1,1,1
6,106,0,1,1
6,107,-1,1,1
6,108,-1,1,1
6,109,1,0,1
6,110,1,1,1
6,111,1,1,0
6,112,-1,0,1
6,113,1,1,1
6,114,1,1,0
6,115,0,0,0
6,116,-1,1,0
6,117,1,1,0
6,118,0,1,1
6,119,0,1,0
6,120,-1,0,0
6,121,0,1,1
6,122,0,1,0
6,123,1,1,0
6,124,1,1,1
6,125,1,1,0
6,126,0,1,0
6,127,1,1,1
6,128,0,1,0
6,129,-1,1,0
6,130,1,0,1
6,131,0,1,1
6,132,1,1,1
6,133,1,1,0
6,134,-1,1,0
6,135,0,0,0
6,136,-1,1,0
6,137,1,1,1
6,138,0,0,1
6,139,-1,1,1
6,140,-1,0,0
6,141,1,0,1
6,142,1,1,0
6,143,-1,1,1
6,144,1,0,0
6,145,-1,0,1
6,146,-1,1,0
6,147,0,1,1
6,148,1,1,0
6,149,0,1,0
6,150,0,1,1
6,151,1,0,0
6,152,0,0,0
6,153,-1,1,1
6,154,-1,1,0
6,155,1,0,1
6,156,1,1,1
6,157,0,1,0
6,158,0,0,0
6,159,-1,0,1
6,160,1,1,0
6,161,-1,0,0
6,162,0,1,0
6,163,0,1,0
6,164,0,0,0
6,165,1,0,0
6,166,0,1,1
6,167,1,1,1
6,168,-1,1,0
6,169,1,1,1
6,170,-1,1,0
6,171,1,0,0
6,172,1,0,1
6,173,-1,1,1
6,174,1,1,1
6,175,0,0,1
6,176,0,1,0
6,177,0,0,1
6,178,-1,0,0
6,179,0,1,1
6,180,0,1,0
