participantNumber,trialNumber,feltThermal,feltMotion,feltDirection
7,1,-1,0,0
7,2,-1,0,0
7,3,-1,1,1
7,4,0,0,1
7,5,0,0,1
7,6,1,1,1
7,7,0,0,1
7,8,0,1,0
7,9,0,1,1
7,10,1,0,1
7,11,-1,1,1
7,12,1,0,1
7,13,-1,0,1
7,14,0,0,1
7,15,1,1,1
7,16,1,1,0
7,17,0,0,1
7,18,0,0,1
7,19,-1,0,1
7,20,-1,1,0
7,21,-1,0,0
7,22,0,0,0
7,23,-1,1,0
7,24,0,1,1
7,25,1,0,0
7,26,0,1,1
7,27,-1,1,0
7,28,1,1,1
7,29,-1,1,1
7,30,1,1,0
7,31,1,1,0
7,32,0,0,0
7,33,0,1,1
7,34,0,1,0
7,35,0,1,0
7,36,1,0,0
7,37,1,1,1
7,38,-1,1,0
7,39,-1,1,1
7,40,0,0,0
7,41,0,0,0
7,42,1,1,0
7,43,0,0,1
7,44,0,1,1
7,45,0,1,0
7,46,1,0,0
7,47,0,0,0
7,48,0,1,0
7,49,1,1,1
7,50,-1,1,1
7,51,1,1,1
7,52,1,1,0
7,53,1,1,0
7,54,0,1,0
7,55,0,1,1
7,56,-1,1,0
7,57,-1,1,0
7,58,1,0,0
7,59,1,0,0
7,60,0,0,0
7,61,-1,1,1
7,62,1,0,1
7,63,1,0,1
7,64,0,1,0
7,65,-1,1,0
7,66,0,1,1
7,67,0,0,1
7,68,0,1,0
7,69,-1,0,0
7,70,-1,1,0
7,71,0,0,0
7,72,0,1,0
7,73,-1,1,0
7,74,1,1,1
7,75,-1,1,1
7,76,-1,1,0
7,77,0,0,0
7,78,-1,1,1
7,79,0,1,1
7,80,1,1,1
7,81,0,1,1
7,82,0,1,1
7,83,-1,1,0
7,84,0,0,0
7,85,0,0,1
7,86,1,1,1
7,87,1,1,1
7,88,1,1,1
7,89,0,1,1
7,90,0,0,0
7,91,1,1,0
7,92,0,0,0
7,93,0,1,0
7,94,0,1,0
7,95,1,1,0
7,96,-1,1,1
7,97,0,1,1
7,98,1,1,1
7,99,1,1,1
7,100,0,1,1
7,101,0,1,1
7,102,1,1,1
7,103,-1,0,1
7,104,1,0,0
7,105,0,1,0
7,106,0,1,1
7,107,0,1,0
7,108,-1,0,1
7,109,0,0,1
7,110,1,0,1
7,111,0,1,0
7,112,-1,1,1
7,113,0,1,0
7,114,0,0,0
7,115,-1,0,0
7,116,-1,1,1
7,117,-1,1,1
7,118,0,0,0
7,119,0,1,1
7,120,-1,0,1
7,121,1,1,1
7,122,0,1,1
7,123,-1,1,1
7,124,0,1,0
7,125,-1,1,1
7,126,-1,1,0
7,127,0,1,0
7,128,-1,1,0
7,129,-1,1,0
7,130,-1,1,1
7,131,-1,1,0
7,132,-1,1,0
7,133,0,1,0
7,134,0,1,1
7,135,0,1,0
7,136,0,1,0
7,137,-1,1,1
7,138,0,1,0
7,139,-1,1,0
7,140,-1,1,1
7,141,0,1,0
7,142,-1,1,0
7,143,0,1,0
7,144,1,1,0
7,145,1,1,1
7,146,1,0,0
7,147,-1,1,0
7,148,-1,1,1
7,149,-1,1,1
7,150,0,0,0
7,151,0,1,0
7,152,1,1,1
7,153,0,1,1
7,154,-1,0,0
7,155,-1,1,1
7,156,0,1,0
7,157,0,1,1
7,158,0,1,1
7,159,1,1,1
7,160,-1,1,1
7,161,0,1,1
7,162,0,1,0
7,163,-1,1,1
7,164,0,1,0
7,165,1,1,0
7,166,-1,0,0
7,167,1,1,0
7,168,-1,1,1
7,169,0,1,0
7,170,1,1,1
7,171,1,1,0
7,172,-1,1,1
7,173,0,1,1
7,174,-1,1,1
7,175,0,1,0
7,176,-1,1,0
7,177,0,1,1
7,178,-1,1,1
7,179,-1,1,1
7,180,-1,1,0
