participantNumber,trialNumber,feltThermal,feltMotion,feltDirection
11,1,1,0,1
11,2,0,1,1
11,3,0,0,1
11,4,0,1,1
11,5,0,1,1
11,6,-1,1,0
11,7,0,1,1
11,8,0,0,0
11,9,1,1,0
11,10,1,1,1
11,11,0,1,0
11,12,0,0,0
11,13,0,0,0
11,14,0,1,0
11,15,-1,1,1
11,16,0,1,1
11,17,0,0,1
11,18,1,0,0
11,19,0,0,1
11,20,1,1,1
11,21,-1,0,0
11,22,0,1,0
11,23,0,1,0
11,24,1,1,0
11,25,1,0,0
11,26,1,1,1
11,27,-1,1,0
11,28,1,1,1
11,29,-1,1,1
11,30,0,1,0
11,31,1,1,1
11,32,0,1,0
11,33,-1,1,0
11,34,1,0,0
11,35,-1,1,1
11,36,0,0,1
11,37,0,0,1
11,38,-1,1,0
11,39,0,1,0
11,40,-1,1,0
11,41,0,1,0
11,42,0,1,0
11,43,0,0,1
11,44,0,1,0
11,45,-1,1,0
11,46,1,1,0
11,47,1,0,0
11,48,-1,1,0
11,49,1,0,0
11,50,1,1,0
11,51,0,0,0
11,52,0,1,0
11,53,1,1,0
11,54,0,0,0
11,55,-1,0,0
11,56,0,1,1
11,57,0,0,0
11,58,-1,0,0
11,59,1,1,1
11,60,0,1,1
11,61,0,1,1
11,62,1,1,0
11,63,1,1,0
11,64,1,1,0
11,65,0,1,1
11,66,1,1,1
11,67,0,1,1
11,68,0,1,0
11,69,-1,1,0
11,70,0,1,1
11,71,0,1,0
11,72,-1,1,0
11,73,0,1,0
11,74,-1,1,0
11,75,1,1,1
11,76,1,1,1
11,77,1,1,1
11,78,0,1,1
11,79,1,1,0
11,80,1,1,0
11,81,1,0,1
11,82,1,1,1
11,83,0,1,1
11,84,1,0,0
11,85,1,1,1
11,86,1,1,1
11,87,1,0,0
11,88,0,0,1
11,89,0,0,1
11,90,0,1,1
11,91,1,1,0
11,92,0,1,0
11,93,1,1,1
11,94,-1,1,1
11,95,0,1,0
11,96,0,1,1
11,97,-1,1,0
11,98,1,0,0
11,99,0,1,1
11,100,1,1,1
11,101,0,1,1
11,102,1,1,0
11,103,1,1,1
11,104,0,1,1
11,105,0,1,1
11,106,0,1,1
11,107,0,1,0
11,108,0,1,1
11,109,-1,1,0
11,110,1,1,0
11,111,0,1,0
11,112,0,1,1
11,113,0,1,0
11,114,0,1,1
11,115,0,0,1
11,116,1,1,0
11,117,0,1,1
11,118,0,1,0
11,119,-1,1,0
11,120,1,1,1
11,121,0,0,1
11,122,0,0,0
11,123,1,1,0
11,124,-1,1,0
11,125,1,1,1
11,126,0,1,1
11,127,1,1,1
11,128,0,1,1
11,129,0,1,1
11,130,1,0,0
11,131,-1,0,0
11,132,0,1,1
11,133,1,1,1
11,134,0,1,1
11,135,1,1,1
11,136,1,1,0
11,137,1,1,0
11,138,1,1,0
11,139,0,1,0
11,140,0,0,0
11,141,-1,1,0
11,142,0,1,0
11,143,-1,1,0
11,144,0,1,0
11,145,1,1,0
11,146,0,1,1
11,147,0,0,0
11,148,1,1,1
11,149,-1,0,1
11,150,1,1,1
11,151,-1,1,1
11,152,0,1,0
11,153,-1,1,1
11,154,-1,1,1
11,155,0,1,0
11,156,0,1,1
11,157,0,1,1
11,158,-1,1,0
11,159,0,1,1
11,160,1,1,0
11,161,-1,1,0
11,162,-1,0,0
11,163,0,1,1
11,164,-1,1,1
11,165,0,1,1
11,166,0,1,1
11,167,0,1,0
11,168,1,1,1
11,169,1,1,1
11,170,0,1,1
11,171,0,1,0
11,172,0,1,1
11,173,1,1,1
11,174,0,1,0
11,175,-1,1,1
11,176,0,1,0
11,177,0,1,1
11,178,1,1,0
11,179,-1,1,1
11,180,1,1,1
