participantNumber,trialNumber,feltThermal,numberOfLocations,location1,location2,location3,extraLocations
4,1,1,2,0.09152781,0.36375,,
4,2,0,3,0,0.4331945,0.8554167,
4,3,0,3,0.2470834,0.5331945,0.7915278,
4,4,1,2,0.5026389,0.1276389,,
4,5,0,3,0.81375,0.4165278,0.03319448,
4,6,-1,3,0.05819448,0.46375,0.7804167,
4,7,0,4,0,0,0.4581945,0.8276389
4,8,1,3,0,0.4081945,0.7887501,
4,9,1,3,0.5109723,0.5109723,0.01375003,
4,10,0,2,0.5026389,0.7915278,,
4,11,0,2,0.4581945,0.4581945,,
4,12,-1,3,0.8248612,0.4248611,0.06652781,
4,13,-1,3,0.8331945,0.41375,0.11375,
4,14,0,3,0,0.4804167,0.8304167,
4,15,0,3,0,0.46375,0.8081945,
4,16,0,3,0.4804167,0.06097225,0.4720834,
4,17,0,3,0.4554167,0.0304167,0.4415278,
4,18,-1,3,0,0.4609722,0.8276389,
4,19,0,4,0.4943056,0.4943056,0.1109723,0.1109723
4,20,1,3,0,0.5026389,0.8248612,
4,21,0,3,0,0.4581945,0.8875003,
4,22,0,4,0,0.3943056,0.8665278,0.04708337
4,23,0,3,0.5109723,0.03875003,0.046375,
4,24,-1,4,0,0.4609722,0.06097225,0.8026389
4,25,0,3,0,0.5776389,0.05263892,
4,26,0,3,0.6054167,0.06652781,0.5665278,
4,27,0,3,0.6498612,0.02208337,0.6054167,
4,28,1,3,0.5943056,0.01930559,0.6443056,
4,29,0,5,0,0,0.6109723,0.6109723
4,30,1,3,0.6665278,0.6665278,0.0804167,
4,31,1,3,0.6526389,0.06652781,0.61375,
4,32,0,3,0.6526389,0.04152781,0.61375,
4,33,0,3,0,0,0.5831945,
4,34,0,3,0.7165278,0.06097225,0.63875,
4,35,1,3,0.6443056,0.0804167,0.5859722,
4,36,1,3,0.7248611,0.06097225,0.6554167,
4,37,-1,3,0.6498612,0.06375004,0.6415278,
4,38,0,3,0,0,0.5665278,
4,39,0,3,0,0,0.6109723,
4,40,0,3,0,0.61375,0.08319448,
4,41,0,3,0,0,0.7443056,
4,42,-1,3,0,0,0.5859722,
4,43,1,3,0,0,0.6193056,
4,44,-1,3,0.6304167,0.6304167,0.0554167,
4,45,0,3,0,0,0.6859723,
4,46,0,3,0.6915278,0.6915278,0.03319448,
4,47,0,3,0.008194478,0.008194478,0.7165278,
4,48,0,3,0.7304167,0.7304167,0.02486115,
4,49,0,3,0,0,0.7359723,
4,50,0,3,0.7081945,0.7081945,0.005416701,
4,51,1,3,0,0,0.7276389,
4,52,1,3,0.6609722,0.6609722,0.08875003,
4,53,0,3,0.7998611,0.58875,0.04152781,
4,54,0,3,0.7887501,0.7887501,0.03319448,
4,55,0,3,0,0,0.5720834,
4,56,0,3,0.6665278,0.6665278,0.01375003,
4,57,1,3,0.8081945,0.8081945,0.13875,
4,58,1,3,0,0,0.7304167,
4,59,-1,3,0.6776389,0.005416701,0.6720834,
4,60,1,3,0,0,0.8026389,
4,61,1,3,0.7665278,0.7665278,0.06652781,
4,62,0,3,0.6831945,0.6831945,0.07208337,
4,63,1,3,0.7276389,0.7276389,0.0804167,
4,64,-1,3,0.6665278,0.6665278,0.09708337,
4,65,1,3,0,0,0.6970834,
4,66,1,3,0.6081945,0.6081945,0.04986114,
4,67,1,3,0,0,0.7081945,
4,68,0,3,0,0,0.7220834,
4,69,-1,3,0.6470833,0.6470833,0.03875003,
4,70,-1,3,0.6415278,0.6415278,0.04152781,
4,71,1,3,0,0,0.7415278,
4,72,1,3,0,0,0.7220834,
4,73,0,3,0,0,0.6498612,
4,74,-1,3,0.7026389,0.7026389,0.05819448,
4,75,0,3,0,0,0.8193056,
4,76,0,3,0.73875,0.73875,0.0554167,
4,77,0,3,0,0,0.6915278,
4,78,-1,3,0.7331945,0.7331945,0.04708337,
4,79,1,3,0.7470834,0.7470834,0.05819448,
4,80,0,3,0.73875,0.73875,0.02208337,
4,81,1,3,0,0,0.7054167,
4,82,0,3,0,0,0.6804167,
4,83,-1,3,0.7443056,0.7443056,0.06097225,
4,84,1,3,0,0,0.6526389,
4,85,-1,3,0,0,0.7443056,
4,86,0,3,0.8581945,0.8581945,0.08875003,
4,87,0,3,0,0,0.7498611,
4,88,0,3,0.76375,0.76375,0.06375004,
4,89,0,3,0,0,0.7470834,
4,90,1,3,0,0,0.6943056,
4,91,0,3,0.8026389,0.8026389,0.02763892,
4,92,0,3,0.8054167,0.8054167,0.04708337,
4,93,0,3,0.83875,0.83875,0.0554167,
4,94,0,3,0,0,0.6943056,
4,95,1,3,0,0,0.6693056,
4,96,0,3,0.7470834,0.7470834,0.07208337,
4,97,-1,3,0.81375,0.81375,0.03597226,
4,98,0,3,0.7276389,0.7276389,0.03597226,
4,99,1,3,0,0,0.7415278,
4,100,0,3,0,0,0.7081945,
4,101,1,3,0.7720833,0.7720833,0.0804167,
4,102,0,3,0.7970834,0.7970834,0.04152781,
4,103,1,3,0.7554167,0.7554167,0.04430559,
4,104,0,3,0.7915278,0.7915278,0.02763892,
4,105,0,3,0.7831945,0.7831945,0.01097226,
4,106,1,3,0.7748612,0.7748612,0.002638923,
4,107,1,3,0,0,0.7887501,
4,108,0,3,0,0,0.6970834,
4,109,0,4,0,0,0,0.7554167
4,110,-1,3,0,0,0.7443056,
4,111,0,3,0,0,0.7443056,
4,112,0,4,0,0,0,0.8081945
4,113,0,3,0.8276389,0.8276389,0,
4,114,0,4,0.8054167,0.8054167,0.8054167,0
4,115,0,3,0.81375,0.81375,0.005416701,
4,116,0,3,0,0,0.7165278,
4,117,1,3,0.8081945,0.8081945,0.05263892,
4,118,0,3,0.7581945,0.7581945,0,
4,119,0,3,0.7720833,0.7720833,0.06930559,
4,120,1,3,0,0,0.6554167,
4,121,0,3,0.81375,0.81375,0.0554167,
4,122,0,3,0.7665278,0.7665278,0.02208337,
4,123,1,3,0.7359723,0.7359723,0.005416701,
4,124,-1,3,0.6998612,0.6998612,0,
4,125,0,3,0,0,0.7581945,
4,126,0,3,0,0,0,
4,127,-1,3,0,0,0.7776389,
4,128,1,3,0,0,0.6776389,
4,129,1,3,0.7248611,0.7248611,0.005416701,
4,130,0,3,0,0,0.7665278,
4,131,1,3,0,0,0.6970834,
4,132,1,3,0.7943056,0.7943056,0,
4,133,1,3,0,0,0.6637501,
4,134,0,3,0.6998612,0.6998612,0,
4,135,1,3,0.7276389,0.7276389,0,
4,136,1,3,0.7581945,0.7581945,0,
4,137,1,3,0.7859722,0.7859722,0,
4,138,0,3,0,0,0.7193056,
4,139,0,3,0,0,0.7609723,
4,140,1,3,0,0,0.73875,
4,141,0,4,0.7970834,0.7970834,0.7970834,0
4,142,-1,3,0.8193056,0.8193056,0,
4,143,1,3,0.8720834,0.8720834,0,
4,144,0,3,0.8193056,0.8193056,0,
4,145,0,3,0,0,0.8026389,
4,146,1,3,0,0,0.7193056,
4,147,0,3,0,0,0.7720833,
4,148,1,3,0,0,0.7970834,
4,149,0,3,0,0,0.7943056,
4,150,0,3,0.8359722,0.8359722,0,
4,151,0,3,0.8276389,0.8276389,0,
4,152,0,3,0,0,0.8443056,
4,153,0,3,0,0,0.7970834,
4,154,0,3,0,0,0.81375,
4,155,1,3,0,0,0.8109723,
4,156,0,3,0.8165278,0.8165278,0,
4,157,1,3,0.8359722,0.8359722,0,
4,158,0,3,0.8081945,0,0.7915278,
4,159,0,3,0,0,0.7720833,
4,160,0,3,0,0,0.7943056,
4,161,0,3,0,0,0.8276389,
4,162,0,3,0.8165278,0.8165278,0,
4,163,0,3,0,0,0.7693056,
4,164,0,3,0,0,0.7887501,
4,165,0,3,0.8109723,0.8109723,0,
4,166,0,3,0.8109723,0.8109723,0,
4,167,1,3,0.7998611,0.7998611,0,
4,168,0,3,0.76375,0.76375,0,
4,169,0,3,0.8081945,0.8081945,0,
4,170,1,3,0.8220834,0.8220834,0,
4,171,0,3,0.7859722,0.7859722,0,
4,172,0,3,0.7443056,0.7443056,0,
4,173,1,3,0,0,0.8026389,
4,174,0,3,0,0,0.6943056,
4,175,1,3,0,0,0.7915278,
4,176,1,3,0.7970834,0.7970834,0,
4,177,0,3,0,0,0.7998611,
4,178,1,3,0.8109723,0.8109723,0,
4,179,0,3,0,0,0.7276389,
4,180,0,3,0,0,0.7554167,
