participantNumber,trialNumber,feltThermal,numberOfLocations,location1,location2,location3,extraLocations
10,162,0,2,0.8334619,0.2173704
10,163,0,2,0.7134969,0.3190358
10,164,0,3,0.3476949,0,0.2927956
10,165,-1,2,0,0.6404908
10,166,0,2,0,0.6120242
10,167,-1,2,1,0.3920417
10,168,0,2,0.6484308,1
10,169,0,2,1,0.6299381
10,170,1,2,1,0.2996357
10,171,1,2,1,0.7499032
10,172,-1,2,1,0.318843
10,173,1,2,0.6362312,1
10,174,0,3,0.3292022,0.6545307,1
10,175,1,2,0,0.6384575
10,176,-1,2,0,1
10,177,-1,2,0.3068362,1
10,178,0,2,0.6707972,0
10,179,1,2,1,0.6990703
10,180,1,2,0,1
