participantNumber,trialNumber,feltThermal,numberOfLocations,location1,location2,location3,extraLocations
2,1,0,2,0.2888889,0.4583333
2,2,0,4,0.4861111,0.4861111,0.4861111,0.2861111
2,3,1,4,0.8444445,0.8444445,0.8444445,0.7361111
2,4,0,4,0.3,0.3,0.3,0.4555556
2,5,1,4,0.7970834,0.7970834,0.7970834,0.2998611
2,6,0,3,0.6972222,0.6972222,0.2777778
2,7,-1,3,0.3611111,0.3611111,0.5722222
2,8,1,3,0.4222222,0.4638889,0.6944444
2,9,-1,3,0.8444445,0.8444445,0.2166667
2,10,0,3,0.7416667,0.7416667,0.03611111
2,11,1,3,0.8333333,0.8333333,0.1194444
2,12,-1,3,0.88875,0.88875,0.1581945
2,13,-1,3,0.6722222,0.6722222,1
2,14,1,3,0.925,0.925,0.2472222
2,15,1,3,0.7861111,0.7861111,0.3777778
2,16,1,3,0.825,0.825,0.9111111
2,17,1,3,0.9081945,0.9081945,0.7276389
2,18,1,3,0.85,0.85,0.4388889
2,19,1,3,0.6944444,0.6944444,0.08611107
2,20,1,3,0.3472222,0.3472222,0.5444444
2,21,1,3,0.5833333,0.5833333,0.7472222
2,22,1,3,0.8611111,0.8611111,0.3611111
2,23,1,3,0.5277778,0.5277778,0.8083333
2,24,0,3,0.7138889,0.7138889,0.08333334
2,25,1,3,0.3777778,0.3777778,0.6833333
2,26,-1,3,0.7583333,0.7583333,0.1777778
2,27,1,3,0.7138889,0.7138889,0.4138889
2,28,0,3,0.1638889,0.1638889,0.6
2,29,-1,3,0.8277778,0.8277778,0.4472222
2,30,1,3,0.8444445,0.8444445,0.9055555
2,31,0,3,0.7,0.7,0.1388889
2,32,0,3,0.4888889,0.4888889,0.2805555
2,33,1,3,0.4666667,0.4666667,0.7444444
2,34,-1,3,0.7331945,0.7331945,0.06652781
2,35,-1,3,0.3833333,0.3833333,0.7111111
2,36,1,3,0.8861111,0.8861111,0.4666667
2,37,1,3,0.9694445,0.9694445,0.1583333
2,38,1,3,0.8361111,0.8361111,0.06388889
2,39,0,3,0.5166667,0.5166667,0.85
2,40,-1,3,0.6777778,0.6777778,0.3916667
2,41,0,3,0.6277778,0.6277778,0.3861111
2,42,1,3,0.9055555,0.9055555,0.5248612
2,43,1,3,0.9888889,0.9888889,0.5444444
2,44,1,3,0.6888889,0.6888889,0.2638889
2,45,1,3,0.9527778,0.9527778,0.5861111
2,46,1,3,0.55,0.55,0.7972222
2,47,0,3,0.6527778,0.6527778,0.5472222
2,48,0,3,0.2916667,0.2916667,0.4333333
2,49,1,3,0.5527778,0.5527778,0.7111111
2,50,0,3,0.9055555,0.9055555,0.675
2,51,1,3,0.7222222,0.7222222,0.9222222
2,52,0,3,0.6611111,0.6611111,0.8527778
2,53,1,3,0.2583333,0.2583333,0.4472222
2,54,0,3,0.7055556,0.7055556,0.4694445
2,55,1,3,0.5777778,0.5777778,0.7
2,56,0,3,0.8027778,0.8027778,0.125
2,57,1,2,0.8611111,0.8611111
2,58,0,3,0.825,0.825,0.9722222
2,59,1,3,0.9694445,0.9694445,0.7611111
2,60,-1,3,0.875,0.875,0.4583333
2,61,0,3,0.1333333,0.1333333,0.4722222
2,62,0,3,0.35,0.35,0.6916667
2,63,0,3,0.5777778,0.5777778,0.1944445
2,64,-1,3,0.7916667,0.7916667,0.3194444
2,65,1,3,0.35,0.35,0.6694444
2,66,0,3,0.7443056,0.7443056,0.3609723
2,67,1,3,0.2638889,0.2638889,0.6555555
2,68,0,3,0.6416667,0.6416667,0.2055556
2,69,0,3,0.1777778,0.1777778,0.5361111
2,70,-1,3,0.4333333,0.4333333,0.675
2,71,0,3,0.4555556,0.4555556,0.6944445
2,72,0,3,0.55,0.55,0.1055556
2,73,1,3,0.7111111,0.7111111,0.2222222
2,74,0,3,0.3277778,0.3277778,0.7472222
2,75,0,3,0.3222222,0.3222222,0.6611111
2,76,0,3,0.3583333,0.3583333,0.7611111
2,77,1,3,0.8833333,0.8833333,0.3333333
2,78,0,3,0.8166667,0.8166667,0.1666667
2,79,-1,3,0.1611111,0.1611111,0.6972222
2,80,1,3,0.175,0.175,0.6388889
2,81,1,2,0.9361111,0.9361111
2,82,1,3,0.2277778,0.2277778,0.675
2,83,1,3,0.25,0.25,0.5416667
2,84,1,3,0.5722222,0.5722222,0.1666667
2,85,0,3,0.2166667,0.2166667,0.6361111
2,86,1,3,0.8027778,0.8027778,0
2,87,1,3,0.85,0.85,0.05277778
2,88,0,3,0.225,0.225,0.7694445
2,89,1,3,0.7972222,0.7972222,0.01666667
2,90,0,3,0.8304167,0.8304167,0.1748611
2,91,-1,3,0.9388889,0.9388889,0.2666667
2,92,0,3,0.6138889,0.6138889,0
2,93,1,3,0.4333333,0.4333333,0.7388889
2,94,0,3,0.5611111,0.5611111,0.3277778
2,95,1,3,0.6776389,0.6776389,0.1359723
2,96,1,3,0.7055556,0.7055556,0.2055556
2,97,1,3,0.7305555,0.7305555,0.1444445
2,98,0,3,0.6388889,0.6388889,0.4611111
2,99,1,3,0.5888889,0.5888889,0.7444444
2,100,0,3,0.525,0.525,0.2222222
2,101,1,3,0.4027778,0.4027778,0.6583334
2,102,1,3,0.7166666,0.7166666,0.4111111
2,103,1,3,0.9444444,0.9444444,0.3888889
2,104,0,3,0.8305556,0.8305556,0.3555556
2,105,1,3,0.6888889,0.6888889,0.3555556
2,106,1,3,0.2944444,0.2944444,0.4444444
2,107,1,3,0.2166667,0.2166667,0.5222222
2,108,0,3,0.4666667,0.4666667,0.8583333
