participantNumber,trialNumber,feltThermal,numberOfLocations,location1,location2,location3,extraLocations
5,1,1,2,0.9086944,0.1543383
5,2,0,3,0.2133043,0.2133043,0.8822619
5,3,-1,3,0.9168274,0.9168274,0.2397365
5,4,0,3,1,0.4855739,0
5,5,1,3,0.2092377,0.6850311,1
5,6,-1,3,0.2966697,0.7358634,1
5,7,0,3,0.5,0.754163,0.9107277
5,8,1,3,0.06487297,0.06487297,0.4898333
5,9,1,3,0.0323399,0.2905696,1
5,10,0,3,0.1136723,0.2234706,1
5,11,0,3,0,0,1
5,12,1,3,0.9432608,0.6707977,0.1482386
5,13,0,3,0.8192291,0.5304997,0.178738
5,14,-1,3,0,0.2907628,0.8885546
5,15,1,3,1,0.4977735,0
5,16,-1,3,0.8537951,0.5000004,0.009973967
5,17,0,3,0.211271,0.211271,0.8090624
5,18,0,3,0.1096052,0.3109026,0.9046277
5,19,0,3,0,0.2317967,0.8316218
5,20,0,3,0.09020557,0.2833696,0.6412309
5,21,0,3,1,0.6218052,0.148045
5,22,1,3,1,0.5709726,0.07891273
5,23,0,3,0.3007359,0.5,1
5,24,1,3,1,0.6950038,0.4266073
5,25,1,3,0.9371604,0.9371604,0.2458365
5,26,0,3,0.1360386,0.1360386,0.7887294
5,27,1,3,1,0.4815067,0.06874599
5,28,0,3,0.1238386,0.4105347,0.7754294
5,29,0,3,0.894461,0.894461,0.2885363
5,30,1,3,0.144172,0.2763367,0.8375288
5,31,0,3,0.774496,0.5243996,0.2153372
5,32,0,3,0.1177386,0.3414024,0.7765294
5,33,0,3,0,0.355828,0.9515865
5,34,1,3,0.02013981,0.3271684,0.9025939
5,35,0,3,0.1410383,0.3972346,0.7977957
5,36,0,3,0,0.374128,0.9414204
5,37,0,3,0.7846623,0.4938995,0.02420607
5,38,1,3,0,0.1809644,0.9312544
5,39,0,3,0.2133039,0.5447327,1
5,40,0,3,1,0.5730059,0.07077977
5,41,1,3,1,0.6238386,0.1643118
5,42,0,3,0.09943891,0.09943891,0.8863276
5,43,0,3,0.08520588,0.08520588,0.8558283
5,44,1,3,1,0.5425062,0
5,45,0,3,1,0.7153368,0.3086761
5,46,1,3,0,0,0.6913233
5,47,1,3,0,0.4940931,0.9739532
5,48,1,3,1,0.7092372,0.1643114
5,49,0,3,1,0.4652409,0
5,50,1,3,0,0.2643293,1
5,51,0,3,0,0.2643293,0.9434536
5,52,0,3,1,0.5120065,0
5,53,1,3,1,0.5669059,0
5,54,0,3,0,0.4188607,1
5,55,0,3,0,0.4188607,1
5,56,0,3,0,0.2500964,0.8133218
5,57,0,3,1,0.5282732,0
5,58,0,3,1,0.5709726,0.2659768
5,59,1,3,1,0.7682028,0
5,60,0,3,0,0.2988961,0.9210876
5,61,-1,3,0,0.4168274,0.8946542
5,62,0,3,0,0.3395617,1
5,63,1,3,1,1,0.1582118
5,64,1,3,1,0.5994385,0.07484604
