Participant,Trial,Temperature,Duration,Direction,FeltThermal,numLocation,extraLocations,ThermalMatch,NumMatch,DirectionMatch,Location,FeltLocation,Displacement
1,32,9,0.1,0,1,3,,1,1,1,2,0.6416667,0.35833329999999997
1,32,9,0.1,0,1,3,,1,1,1,3,0.0,0.0
1,33,9,0.5,1,1,3,,1,1,1,1,0.0,0.0
1,33,9,0.5,1,1,3,,1,1,1,2,0.2083333,0.2083333
1,33,9,0.5,1,1,3,,1,1,1,3,1.0,0.0
1,34,9,0.1,0,1,3,,1,1,1,1,1.0,0.0
1,34,9,0.1,0,1,3,,1,1,1,2,0.7444444,0.2555556
1,34,9,0.1,0,1,3,,1,1,1,3,0.0,0.0
1,35,0,0.25,0,0,3,,1,1,1,1,1.0,0.0
1,35,0,0.25,0,0,3,,1,1,1,2,0.6166667,0.3833333
1,35,0,0.25,0,0,3,,1,1,1,3,0.0,0.0
1,36,9,0.25,1,1,3,,1,1,1,1,0.0,0.0
1,36,9,0.25,1,1,3,,1,1,1,2,0.2611111,0.2611111
1,36,9,0.25,1,1,3,,1,1,1,3,1.0,0.0
1,37,9,0.5,0,1,3,,1,1,1,1,1.0,0.0
1,37,9,0.5,0,1,3,,1,1,1,2,0.6777778,0.3222222
1,37,9,0.5,0,1,3,,1,1,1,3,0.0,0.0
1,38,0,0.25,1,0,3,,1,1,1,1,0.0,0.0
1,38,0,0.25,1,0,3,,1,1,1,2,0.3944444,0.3944444
1,38,0,0.25,1,0,3,,1,1,1,3,1.0,0.0
1,39,0,0.5,1,0,3,,1,1,1,1,0.0,0.0
1,39,0,0.5,1,0,3,,1,1,1,2,0.4359722,0.4359722
1,39,0,0.5,1,0,3,,1,1,1,3,1.0,0.0
1,40,0,0.5,0,0,3,,1,1,1,1,1.0,0.0
1,40,0,0.5,0,0,3,,1,1,1,2,0.8498611,0.15013889999999996
1,40,0,0.5,0,0,3,,1,1,1,3,0.0,0.0
1,42,9,0.25,0,1,3,,1,1,1,1,1.0,0.0
1,42,9,0.25,0,1,3,,1,1,1,2,0.63875,0.36124999999999996
1,42,9,0.25,0,1,3,,1,1,1,3,0.0,0.0
1,43,9,0.5,1,1,3,,1,1,1,1,0.0,0.0
1,43,9,0.5,1,1,3,,1,1,1,2,0.3443056,0.3443056
1,43,9,0.5,1,1,3,,1,1,1,3,1.0,0.0
1,44,0,0.25,0,0,3,,1,1,1,1,1.0,0.0
1,44,0,0.25,0,0,3,,1,1,1,2,0.6859723,0.3140277
1,44,0,0.25,0,0,3,,1,1,1,3,0.0,0.0
1,45,0,0.5,1,0,3,,1,1,1,1,0.0,0.0
1,45,0,0.5,1,0,3,,1,1,1,2,0.3859723,0.3859723
1,45,0,0.5,1,0,3,,1,1,1,3,1.0,0.0
1,46,9,0.25,1,1,3,,1,1,1,1,0.0,0.0
1,46,9,0.25,1,1,3,,1,1,1,2,0.2026389,0.2026389
1,46,9,0.25,1,1,3,,1,1,1,3,1.0,0.0
1,47,-15,0.5,1,-1,3,,1,1,1,1,0.0,0.0
1,47,-15,0.5,1,-1,3,,1,1,1,2,0.5888889,0.5888889
1,47,-15,0.5,1,-1,3,,1,1,1,3,1.0,0.0
1,48,0,0.25,0,0,3,,1,1,1,1,1.0,0.0
1,48,0,0.25,0,0,3,,1,1,1,2,0.5193056,0.48069439999999997
1,48,0,0.25,0,0,3,,1,1,1,3,0.0,0.0
1,49,9,0.25,0,1,3,,1,1,1,1,1.0,0.0
1,49,9,0.25,0,1,3,,1,1,1,2,0.7498611,0.25013890000000005
1,49,9,0.25,0,1,3,,1,1,1,3,0.0,0.0
1,50,-15,0.1,1,-1,3,,1,1,1,1,0.0,0.0
1,50,-15,0.1,1,-1,3,,1,1,1,2,0.4526389,0.4526389
1,50,-15,0.1,1,-1,3,,1,1,1,3,1.0,0.0
1,51,9,0.1,1,1,3,,1,1,1,1,0.0,0.0
1,51,9,0.1,1,1,3,,1,1,1,2,0.3470834,0.3470834
1,51,9,0.1,1,1,3,,1,1,1,3,1.0,0.0
1,52,9,0.5,0,1,3,,1,1,1,1,1.0,0.0
1,52,9,0.5,0,1,3,,1,1,1,2,0.6665278,0.3334722
1,52,9,0.5,0,1,3,,1,1,1,3,0.0,0.0
1,53,9,0.25,0,1,3,,1,1,1,1,1.0,0.0
1,53,9,0.25,0,1,3,,1,1,1,2,0.7248611,0.27513889999999996
1,53,9,0.25,0,1,3,,1,1,1,3,0.0,0.0
1,54,9,0.25,1,1,3,,1,1,1,1,0.0,0.0
1,54,9,0.25,1,1,3,,1,1,1,2,0.2859723,0.2859723
1,54,9,0.25,1,1,3,,1,1,1,3,1.0,0.0
1,55,9,0.25,1,1,3,,1,1,1,1,0.0,0.0
1,55,9,0.25,1,1,3,,1,1,1,2,0.3081945,0.3081945
1,55,9,0.25,1,1,3,,1,1,1,3,1.0,0.0
1,56,-15,0.5,1,-1,3,,1,1,1,1,0.0,0.0
1,56,-15,0.5,1,-1,3,,1,1,1,2,0.0,0.0
1,56,-15,0.5,1,-1,3,,1,1,1,3,1.0,0.0
1,57,0,0.25,0,0,3,,1,1,1,1,1.0,0.0
1,57,0,0.25,0,0,3,,1,1,1,2,0.6388889,0.3611111
1,57,0,0.25,0,0,3,,1,1,1,3,0.0,0.0
1,58,0,0.1,1,0,3,,1,1,1,1,0.0,0.0
1,58,0,0.1,1,0,3,,1,1,1,2,0.3859723,0.3859723
