Temperature,Duration,Direction,Shapiro_W,p_value,Normality_OK
-15,0.1,0,0.6363994200904106,1.580680023496877e-14,0
-15,0.1,1,0.6317098201195646,1.5739415818828923e-13,0
-15,1.0,0,0.3788492655595398,1.0023902313287905e-20,0
-15,1.0,1,0.30942235163955145,3.2430962839766084e-21,0
-15,2.0,0,0.3239312298163818,4.670912658921373e-22,0
-15,2.0,1,0.39397805710288114,2.0104207939259654e-20,0
0,0.1,0,0.5728113684646159,1.857558973588794e-17,0
0,0.1,1,0.56585785437453,1.1595381509421897e-17,0
0,1.0,0,0.4173569114540746,3.812511671043154e-20,0
0,1.0,1,0.34932704034156903,6.351471087471389e-22,0
0,2.0,0,0.33128291990744396,1.4539172486708828e-21,0
0,2.0,1,0.33128291990744396,1.4539172486708828e-21,0
9,0.1,0,0.6353227946228579,1.9768364328769987e-16,0
9,0.1,1,0.635512895956954,5.80337950369033e-16,0
9,1.0,0,0.3562080969856979,7.662281309473822e-23,0
9,1.0,1,0.28503282543126185,6.0422805098009794e-24,0
9,2.0,0,0.274590662537716,1.007720976012449e-23,0
9,2.0,1,0.3805194405483078,5.0983392086264715e-23,0
