Participant,Temperature,Duration,Direction,mean,std,count,z_score,is_outlier
5,0,1.0,1,0.9,0.31622776601683794,10,0.3649906632638444,False
5,0,2.0,0,0.6,0.5163977794943222,10,-0.5908932242659684,False
5,0,2.0,1,0.6666666666666666,0.5,9,-0.37847458259267674,False
5,9,0.1,0,1.0,0.0,8,0.6836186257737819,False
5,9,0.1,1,1.0,0.0,10,0.6836186257737819,False
5,9,1.0,0,0.7,0.48304589153964794,10,-0.27226526175603094,False
5,9,1.0,1,0.8,0.4216370213557839,10,0.04636270075390692,False
5,9,2.0,0,0.6,0.5163977794943222,10,-0.5908932242659684,False
5,9,2.0,1,0.5,0.5270462766947299,10,-0.9095211867759059,False
6,-15,0.1,0,0.0,0.0,7,-2.5026609993255935,True
6,-15,0.1,1,0.2857142857142857,0.4879500364742666,7,-1.5922953921543435,False
6,-15,1.0,0,0.7777777777777778,0.44095855184409843,9,-0.024443513137190415,False
6,-15,1.0,1,1.0,0.0,9,0.6836186257737819,False
6,-15,2.0,0,0.8888888888888888,0.3333333333333333,9,0.32958755631829556,False
6,-15,2.0,1,1.0,0.0,10,0.6836186257737819,False
6,0,0.1,0,0.3333333333333333,0.5,9,-1.4405677909591352,False
6,0,0.1,1,0.7142857142857143,0.4879500364742666,7,-0.2267469813974682,False
6,0,1.0,0,1.0,0.0,9,0.6836186257737819,False
6,0,1.0,1,0.9,0.31622776601683794,10,0.3649906632638444,False
6,0,2.0,0,0.8888888888888888,0.3333333333333333,9,0.32958755631829556,False
6,0,2.0,1,1.0,0.0,9,0.6836186257737819,False
6,9,0.1,0,0.2,0.42163702135578396,10,-1.8654050743057184,False
6,9,0.1,1,0.2,0.42163702135578396,10,-1.8654050743057184,False
6,9,1.0,0,1.0,0.0,10,0.6836186257737819,False
6,9,1.0,1,1.0,0.0,10,0.6836186257737819,False
6,9,2.0,0,1.0,0.0,10,0.6836186257737819,False
6,9,2.0,1,1.0,0.0,10,0.6836186257737819,False
7,-15,0.1,0,0.8571428571428571,0.37796447300922725,7,0.22843582218815667,False
7,-15,0.1,1,0.8888888888888888,0.3333333333333333,9,0.32958755631829556,False
7,-15,1.0,0,0.75,0.4629100498862757,8,-0.112951280501062,False
7,-15,1.0,1,1.0,0.0,10,0.6836186257737819,False
7,-15,2.0,0,0.7142857142857143,0.4879500364742666,7,-0.2267469813974682,False
7,-15,2.0,1,0.625,0.5175491695067657,8,-0.5112362336384839,False
7,0,0.1,0,0.9,0.31622776601683794,10,0.3649906632638444,False
7,0,0.1,1,0.7777777777777778,0.44095855184409843,9,-0.024443513137190415,False
7,0,1.0,0,0.375,0.5175491695067657,8,-1.3078061399133278,False
7,0,1.0,1,0.4,0.5477225575051661,5,-1.2281491492858434,False
