participantNumber,trialNumber,feltThermal,feltLocation
15,1,0,0.9441936
15,2,-1,0.5
15,3,-1,0.2153372
15,4,-1,0
15,5,-1,0.7948294
15,6,1,0.8232957
15,7,0,0.7785626
15,8,-1,0.9818934
15,9,1,1
15,10,0,0.7887289
15,11,-1,0
15,12,-1,0.7134969
15,13,1,0.1563715
15,14,1,0.9635937
15,15,1,1
15,16,0,0
15,17,-1,0.9493608
15,18,-1,0.953427
15,19,-1,1
15,20,1,0.1097987
15,21,-1,0.9452937
15,22,-1,0
15,23,-1,0.4379004
15,24,0,1
15,25,-1,1
15,26,0,1
15,27,1,0
15,28,1,0.7704293
15,29,1,1
15,30,1,1
15,31,-1,0.5
15,32,-1,0.774496
15,33,0,0.2885361
15,34,1,0.141038
15,35,1,0
15,36,0,1
15,37,-1,0.794829
15,38,0,0.880228
15,39,0,0.06893951
15,40,1,0.8944609
15,41,0,0.8761618
15,42,1,0.9025943
15,43,0,0.7846627
15,44,0,0.2336368
15,45,-1,0.03437316
15,46,-1,0.09537213
15,47,-1,0.8253291
15,48,1,0.03843991
15,49,1,0.97376
15,50,-1,0.4166341
15,51,1,0.03843991
15,52,1,0.5
15,53,-1,0.3698682
15,54,1,0.9188612
15,55,-1,0.886328
15,56,0,0
15,57,-1,0
15,58,1,0.04657328
15,59,1,1
15,60,-1,0.8160952
15,61,-1,0.933094
15,62,1,0.8354949
15,63,0,0
15,64,-1,0
15,65,0,0.7256966
15,66,1,0.9269941
15,67,0,0
15,68,1,0
15,69,-1,0.08613873
15,70,1,0.4064679
15,71,-1,0.1948111
15,72,-1,0.08317257
15,73,1,0.8334621
15,74,0,0.4105347
15,75,0,0.9229279
15,76,-1,0.9127607
15,77,-1,1
15,78,0,0.6362317
15,79,1,0.5691323
15,80,-1,0
15,81,1,0.3068359
15,82,1,1
15,83,0,0.5975987
15,84,-1,0.9005615
15,85,0,0.8680284
15,86,0,1
15,87,-1,0.9981598
15,88,-1,0
15,89,1,0.8334624
15,90,0,0.5772657
15,91,1,0
15,92,1,1
15,93,1,0.906661
15,94,-1,0.905561
15,95,0,0.1828042
15,96,1,0
15,97,0,0
15,98,0,0
15,99,0,0.6565642
15,100,1,0
15,101,-1,0.8110957
15,102,1,1
15,103,0,0
15,104,1,0
15,105,0,1
15,106,1,0.9879931
15,107,1,0.9329009
15,108,1,0.1624716
15,109,-1,0.0770726
15,110,1,0.9615605
15,111,0,0
15,112,-1,0.8883615
15,113,-1,0
15,114,1,0
15,115,-1,0.9046277
15,116,0,0.9147945
15,117,0,0.8303285
15,118,1,0.8741284
15,119,1,0.9147945
15,120,0,0.365802
15,121,0,0.09943883
15,122,-1,0.1695045
15,123,-1,0.2499036
15,124,0,0.8903946
15,125,0,0.04860659
15,126,0,1
15,127,0,0
15,128,0,0.6748644
15,129,1,0.7968622
15,130,0,0
15,131,1,0.09740555
15,132,0,1
15,133,0,1
15,134,1,0
15,135,0,0.1421382
15,136,0,0
15,137,-1,0.5121996
15,138,1,1
15,139,-1,0
15,140,-1,0
15,141,0,0.1828045
15,142,0,0.1645049
15,143,1,0.8192291
15,144,-1,0.3881679
15,145,1,0.1360382
15,146,0,0.772463
15,147,1,0.8903946
15,148,0,0.5955653
15,149,1,0.2295706
15,150,1,0.7561963
15,151,1,0.2234706
15,152,1,0
15,153,1,0.1462048
15,154,0,0.2325367
15,155,0,0.9360607
15,156,-1,1
15,157,0,0
15,158,0,0.6890973
15,159,1,0.1809639
15,160,0,0.8944615
15,161,-1,0.6809639
15,162,0,0.22773
15,163,0,1
15,164,0,0.626065
15,165,0,1
15,166,-1,1
15,167,0,1
15,168,0,1
15,169,1,0.8273619
15,170,0,0
15,171,-1,0.8293957
15,172,-1,0.9798601
15,173,-1,0.06783908
15,174,1,0.1746712
15,175,-1,0.8741285
15,176,1,1
15,177,-1,0.08927217
15,178,1,0.9290274
15,179,-1,0.04047285
15,180,-1,0
