participantNumber,trialNumber,feltThermal,feltLocation
4,1,0,0
4,2,-1,0.8430071
4,3,1,0.9565857
4,4,-1,0.9406847
4,5,0,0.05931532
4,6,1,0.0956604
4,7,0,0.9611291
4,8,-1,0.9066111
4,9,-1,0.9225121
4,10,-1,0.0661299
4,11,0,0.9043396
4,12,1,0.8611796
4,13,1,0.8838955
4,14,0,0.8634511
4,15,0,0.897525
4,16,0,0.8952535
4,17,1,0.07067296
4,18,1,0.07294447
4,19,1,0.04419556
4,20,1,0.9520426
4,21,0,0.913426
4,22,1,0.04341431
4,23,-1,0.9384131
4,24,-1,0.8770806
4,25,0,0.9497708
4,26,-1,0.9770297
4,27,-1,0.1047468
4,28,-1,0.9179691
4,29,1,0.9179688
4,30,1,0.1115614
4,31,-1,0.8816237
4,32,0,0.18198
4,33,0,0.8611796
4,34,-1,0.8997962
4,35,0,0.833921
4,36,1,0.08884583
4,37,0,0.08430275
4,38,1,0.09793189
4,39,-1,0.9202406
4,40,1,0.02524173
4,41,-1,0
4,42,1,1
4,43,-1,1
4,44,0,0.07294482
4,45,0,0.9225121
4,46,0,0.05931533
4,47,1,0.9293271
4,48,-1,0.9929308
4,49,-1,0.934651
4,50,0,0.9156976
4,51,-1,0.8134769
4,52,-1,0.002526184
4,53,0,0.04114274
4,54,-1,0
4,55,1,0.9974738
4,56,1,0.0365997
4,57,0,0.03432784
4,58,0,0.03659974
4,59,0,0.8157485
4,60,-1,0.8407356
4,61,-1,0.9066111
4,62,0,1
4,63,1,0.945228
4,64,-1,0.9793013
4,65,0,0.790761
4,66,0,0.1206478
4,67,-1,0.9543142
4,68,1,0.0138841
4,69,0,0.849822
4,70,0,0.8361925
4,71,1,0.8937629
4,72,-1,0.8679945
4,73,0,0.886167
4,74,-1,0.05704379
4,75,-1,0.1456349
4,76,0,0.8793522
4,77,1,0.08430278
4,78,0,0.9202406
4,79,-1,0.09793194
4,80,1,0.9066111
4,81,1,0.08657431
4,82,1,0.9043396
4,83,-1,0.8997965
4,84,-1,0.8596894
4,85,-1,0.09111701
4,86,0,0.802119
4,87,0,0.07067328
4,88,0,0.897525
4,89,1,0.8793522
4,90,0,0.838464
4,91,1,0.03659936
4,92,1,0.9656718
4,93,1,0.9861159
4,94,0,0.7657738
4,95,0,0.2274116
4,96,1,0.881624
4,97,1,0.1032562
4,98,0,0.1638079
4,99,1,0.9247836
4,100,-1,0.886167
4,101,0,0.8952532
4,102,1,0.881624
4,103,1,0.8838955
4,104,-1,0.07067329
4,105,0,0
4,106,1,0.8770806
4,107,0,0.1819801
4,108,1,0.8430071
4,109,-1,0.9043396
4,110,-1,0.833921
4,111,0,0.8361925
4,112,0,0.8452789
4,113,1,0.8430071
4,114,0,0.7112563
4,115,1,0.08203088
4,116,1,0.9338701
4,117,1,0.1728936
4,118,0,0.9270552
4,119,1,0.9338701
4,120,-1,0.8952532
4,121,-1,0.9111542
4,122,1,0.9111542
4,123,1,0.9202406
4,124,1,1
4,125,1,0.8361925
4,126,1,0.9156972
4,127,-1,0.9497711
4,128,1,0.9338701
4,129,0,0.7498729
4,130,-1,0.9247836
4,131,0,0.8793522
4,132,1,1
4,133,0,0.8452789
4,134,0,0.8452786
4,135,0,0.1320055
4,136,-1,0.8748091
4,137,-1,1
4,138,0,1
4,139,1,0
4,140,-1,0.9384131
4,141,-1,0.9111542
4,142,0,0.154721
4,143,0,0.134277
4,144,0,0.8611796
4,145,1,0.8907101
4,146,0,0.0797594
4,147,0,0.940685
4,148,0,0.1047468
4,149,0,0.9134257
4,150,1,0.849822
4,151,0,0.870266
4,152,1,0.9088827
4,153,0,0.8475501
4,154,0,0.03432821
4,155,-1,0.8793525
4,156,0,0.1479065
4,157,1,0.8089335
4,158,0,0.145635
4,159,0,0.9497711
4,160,0,0.8952532
4,161,0,0.8657227
4,162,-1,0.9043396
4,163,-1,0.8543651
4,164,-1,0.01161229
4,165,1,0.9156976
4,166,-1,0.9020681
4,167,0,0.8725376
4,168,1,0.8430074
4,169,1,0.8293779
4,170,0,0.05931528
4,171,0,0.06385837
4,172,0,0.8452786
4,173,0,0.8157485
4,174,-1,0.897525
4,175,0,0.06385839
4,176,-1,0.8997965
4,177,0,0.0797594
4,178,1,0.06612987
4,179,0,1
4,180,0,0
