participantNumber,trialNumber,location,thermal,feltIllusion
18,1,1,0,0
18,2,1,0,1
18,3,1,1,1
18,4,0.9193056,0,0
18,5,1,1,1
18,6,0.8831945,0,0
18,7,1,0,0
18,8,0,0,0
18,9,1,0,0
18,10,0.9248611,-1,1
18,11,0,1,0
18,12,1,0,0
18,13,1,0,0
18,14,0,0,0
18,15,0,0,0
18,16,1,1,1
18,17,1,0,0
18,18,0,0,0
18,19,1,0,0
18,20,0,0,0
18,21,1,-1,0
18,22,0,-1,0
18,23,0.4109723,-1,0
18,24,0.43875,1,0
18,25,0.1081945,0,0
18,26,0.9443056,1,0
18,27,0,1,0
18,28,0.425,0,0
18,29,0.4443056,1,0
18,30,1,0,0
18,31,1,1,0
18,32,0.7470834,0,0
18,33,0.9361111,0,0
18,34,0.7304167,0,0
18,35,1,-1,0
18,36,1,0,0
18,37,1,-1,0
18,38,1,1,0
18,39,1,-1,0
18,40,1,1,0
18,41,1,1,0
18,42,1,0,0
18,43,0,-1,0
18,44,1,-1,0
18,45,0,-1,0
18,46,0,-1,0
18,47,0.2970834,1,0
18,48,0.6859723,-1,0
18,49,0,-1,0
18,50,1,-1,0
18,51,1,1,0
18,52,0,0,0
18,53,0,0,0
18,54,0.03875003,0,0
18,55,0.1444445,1,0
18,56,0.7859722,0,0
18,57,1,0,0
18,58,1,1,0
18,59,0.1581945,-1,0
18,60,1,-1,1
18,61,1,0,0
18,62,1,-1,0
18,63,1,0,0
18,64,1,0,0
18,65,1,1,1
18,66,0,0,0
18,67,1,-1,0
18,68,0.9026389,1,0
18,69,0,0,0
18,70,1,1,1
18,71,1,-1,1
18,72,1,-1,0
18,73,1,-1,0
18,74,1,-1,0
18,75,1,1,0
18,76,0,1,0
18,77,0.6359722,0,0
18,78,1,0,0
18,79,1,1,0
18,80,0.4248611,1,0
18,81,1,-1,1
18,82,0,-1,0
18,83,0,0,0
18,84,0.6555555,0,0
18,85,1,0,0
18,86,1,0,0
18,87,1,-1,0
18,88,1,1,0
18,89,0,1,0
18,90,0,-1,0
18,91,1,-1,0
18,92,0.7166666,0,0
18,93,0,1,0
18,94,0,-1,0
18,95,1,1,0
18,96,0,-1,0
18,97,1,0,0
18,98,0.5027778,-1,0
18,99,0.7305555,-1,0
18,100,1,-1,0
18,101,1,-1,1
18,102,1,0,0
18,103,1,1,0
18,104,1,1,0
18,105,0,-1,0
18,106,1,1,0
18,107,1,0,0
18,108,1,1,0
18,109,1,-1,0
18,110,1,-1,0
18,111,0,0,0
18,112,0.675,1,0
18,113,0,1,0
18,114,1,0,0
18,115,1,0,0
18,116,1,-1,0
18,117,0,1,0
18,118,1,1,0
18,119,0,1,0
18,120,1,1,0
18,121,1,1,0
18,122,1,1,0
18,123,1,1,0
18,124,1,0,0
18,125,0.2638889,1,0
18,126,1,1,1
18,127,0,1,1
18,128,1,1,0
18,129,1,1,0
18,130,0,0,0
18,131,0.6833333,-1,0
18,132,0.4222222,1,0
18,133,1,-1,0
18,134,1,-1,0
18,135,1,-1,0
18,136,0.775,-1,0
18,137,0.7555556,1,1
18,138,0,1,0
18,139,1,-1,0
18,140,1,1,0
18,141,0,1,0
18,142,0,-1,0
18,143,0,1,0
18,144,1,1,0
18,145,1,-1,0
18,146,0.8276389,-1,0
18,147,1,1,0
18,148,0.7111111,0,0
18,149,1,-1,0
18,150,0,0,0
18,151,0,1,0
18,152,1,-1,0
18,153,1,-1,0
18,154,0,-1,0
18,155,1,-1,0
18,156,1,0,0
18,157,1,-1,0
18,158,0,0,0
18,159,0,1,0
18,160,1,0,0
18,161,1,-1,0
18,162,0.4915278,1,0
18,163,0,0,0
18,164,1,-1,0
18,165,1,0,0
18,166,1,1,0
18,167,0,0,0
18,168,0.7694445,1,0
18,169,1,0,0
18,170,1,1,0
18,171,0,1,1
18,172,1,-1,1
18,173,0,-1,0
18,174,1,0,0
18,175,1,-1,0
18,176,0.07486115,0,0
18,177,0,0,0
18,178,1,-1,0
18,179,1,1,0
18,180,1,0,0
