participantNumber,trialNumber,feltThermal,feltLocation
6,1,1,0.9315985
6,2,-1,1
6,3,-1,0.7521443
6,4,0,0
6,5,0,0.5
6,6,-1,0
6,7,1,0
6,8,0,0.7862179
6,9,-1,0.7407864
6,10,1,0.22514
6,11,0,0.7044412
6,12,0,0.5
6,13,1,0.1751651
6,14,1,0.8566365
6,15,1,0.5
6,16,1,0
6,17,1,0.8180199
6,18,0,0.161536
6,19,-1,0.8361927
6,20,1,0.5
6,21,-1,1
6,22,-1,0.7294288
6,23,1,0
6,24,-1,0.6885403
6,25,0,0.5
6,26,1,0.3228173
6,27,-1,0.1274624
6,28,0,0.6453806
6,29,-1,0.7953044
6,30,-1,0.3932362
6,31,0,0.5
6,32,-1,0.1797085
6,33,0,0.1569929
6,34,1,0
6,35,0,1
6,36,0,0.1887946
6,37,1,0.9088826
6,38,1,0.1638078
6,39,-1,0
6,40,1,0.03887119
6,41,1,0.7892707
6,42,-1,0
6,43,1,0.7317003
6,44,1,0
6,45,0,0.04568581
6,46,-1,0.9770297
6,47,1,0.08203089
6,48,1,0.6771823
6,49,1,0.8248345
6,50,0,0
6,51,-1,0
6,52,1,0
6,53,0,0
6,54,0,0
6,55,0,1
6,56,0,0.8884385
6,57,1,0.5
6,58,0,0.220597
6,59,0,0.6635529
6,60,0,0
6,61,0,1
6,62,1,1
6,63,0,0
6,64,0,0.02069865
6,65,1,0
6,66,-1,0.7915421
6,67,-1,0.6022207
6,68,0,1
6,69,-1,0.3682488
6,70,0,0.2546702
6,71,0,0.1206479
6,72,0,0.849822
6,73,0,0.822563
6,74,0,0.7884895
6,75,-1,0.865723
6,76,1,0.8430071
6,77,-1,0.8384639
6,78,1,0.08657397
6,79,-1,0.6453806
6,80,-1,0.2569421
6,81,0,0
6,82,0,0
6,83,-1,0.1728939
6,84,-1,0
6,85,1,0.8816237
6,86,0,0.7067125
6,87,0,0.177437
6,88,0,0
6,89,1,0.5
6,90,-1,1
6,91,-1,1
6,92,1,0
6,93,0,0
6,94,1,0.5
6,95,1,0.7998471
6,96,0,0.1274624
6,97,-1,0
6,98,-1,0.7370246
6,99,0,1
6,100,0,0.1115618
6,101,0,0.6749108
6,102,0,0.3523479
6,103,1,0.1683509
6,104,1,0
6,105,1,0.2614848
6,106,0,0.8316491
6,107,1,0.7953044
6,108,0,0.77486
6,109,1,0.2932871
6,110,0,0
6,111,0,0.5
6,112,1,0.1842515
6,113,0,0.2887441
6,114,-1,0
6,115,1,0.6113071
6,116,0,0.2319546
6,117,0,0
6,118,-1,0.2705716
6,119,0,0.3546194
6,120,1,0.1842515
6,121,-1,0.1592644
6,122,-1,0.8634513
6,123,0,0.7044413
6,124,1,0.5499746
6,125,1,0
6,126,-1,0
6,127,1,1
6,128,1,0.6976264
6,129,0,0.3568912
6,130,0,0.5
6,131,0,0.5
6,132,0,0.7339718
6,133,-1,0.3637058
6,134,0,0.3137312
6,135,1,0.7339717
6,136,0,0
6,137,-1,0
6,138,-1,0.2910153
6,139,-1,0.3546197
6,140,-1,0.2319546
6,141,1,0
6,142,0,0.150178
6,143,-1,0.747601
6,144,1,0.1660794
6,145,1,0.6771823
6,146,0,1
6,147,0,0
6,148,-1,0.3160028
6,149,1,0.4114088
6,150,-1,0.7112559
6,151,-1,0
6,152,0,1
6,153,-1,0
6,154,0,0
6,155,-1,0.7203423
6,156,1,0.8188012
6,157,1,0.6022207
6,158,1,0.6362942
6,159,1,0.4341244
6,160,1,0.7137821
6,161,-1,0.3455332
6,162,-1,0.6317512
6,163,0,0.7317003
6,164,1,0.1479065
6,165,-1,0
6,166,1,0.204696
6,167,1,0.1282437
6,168,1,0
6,169,1,0.1100711
6,170,0,0.2387695
6,171,-1,0.7544159
6,172,1,0.08203092
6,173,1,0.2455838
6,174,1,0.763502
6,175,-1,0.5
6,176,-1,0
6,177,0,0
6,178,0,0.3394996
6,179,0,0.2274116
6,180,-1,0.3909644
