participantNumber,trialNumber,feltThermal,feltLocation
10,1,1,0.2955587
10,2,0,0.8134766
10,3,0,0.7680453
10,4,0,0.05931528
10,5,0,1
10,6,1,0.927055
10,7,1,0.7271572
10,8,0,1
10,9,-1,1
10,10,1,0.1638075
10,11,0,0.7975755
10,12,0,0.6294796
10,13,1,0.6453803
10,14,1,0.895253
10,15,1,0.09338883
10,16,1,0.8089338
10,17,1,1
10,18,0,0
10,19,-1,0.9846255
10,20,1,0.6431087
10,21,-1,1
10,22,-1,0.5863199
10,23,1,0.07748781
10,24,-1,1
10,25,-1,0.6226646
10,26,1,1
10,27,-1,0.6930836
10,28,0,0.03659939
10,29,-1,0.8225629
10,30,-1,0.075216
10,31,0,0.6817256
10,32,-1,0.9543141
10,33,-1,0.3387183
10,34,0,0.07294443
10,35,0,0.08657428
10,36,0,0.1706221
10,37,1,0.6839972
10,38,1,0.5499745
10,39,-1,0.8543649
10,40,0,0.6135786
10,41,1,0.5976775
10,42,-1,0.5408881
10,43,1,0.5613325
10,44,1,0.8770809
10,45,0,0.1161044
10,46,-1,0.8841498
10,47,1,0.1297342
10,48,1,0.7703168
10,49,1,0.5
10,50,0,0.1638075
10,51,-1,0
10,52,1,0.1547211
10,53,0,0.6022206
10,54,0,0.6158497
10,55,0,0.8955078
10,56,-1,0.8452787
10,57,0,0.6885402
10,58,0,0.6893215
10,59,0,0.6976264
10,60,0,0.6794541
10,61,0,1
10,62,0,0.6067637
10,63,0,0
10,64,0,0.6862687
10,65,1,0
10,66,-1,1
10,67,-1,1
10,68,-1,0.5
10,69,0,0.579505
10,70,0,1
10,71,0,0.9664529
10,72,0,0.04795766
10,73,0,0.5885912
10,74,-1,0.6317511
10,75,-1,0.6385657
10,76,1,1
10,77,-1,0.5863196
10,78,1,0.6431087
10,79,-1,0.7112558
10,80,-1,0.8293778
10,81,-1,0
10,82,-1,0.8952533
10,83,-1,0
10,84,-1,0.9474995
10,85,1,0.8770808
10,86,0,0.6794538
10,87,0,0.9588571
10,88,0,0.2455841
10,89,1,0.75
10,90,-1,0.8770808
10,91,-1,1
10,92,0,0.1289327
10,93,0,0
10,94,1,0.69823
10,95,1,1
10,96,0,0
10,97,-1,0.2
10,98,-1,0.79894
10,99,-1,0.56992
10,100,0,0
10,101,-1,1
10,102,0,0
10,103,1,0.412893
10,104,1,0.30123
10,105,1,0.5
10,106,0,1
10,107,1,0.75
10,108,0,0
10,109,1,0.4483
10,110,0,0
10,111,0,0.5
10,112,1,0.624
10,113,0,0.5
10,114,-1,1
10,115,0,1
10,116,0,0.5
10,117,0,0
10,118,-1,0.742
10,119,0,1
10,120,1,0.6902
10,121,-1,0.5
10,122,-1,0.5
10,123,0,0.789123
10,124,1,0.69013
10,125,1,0.3132
10,126,0,0
10,127,1,0.8129
10,128,1,1
10,129,0,0.5
10,130,0,1
10,131,0,0.5
10,132,0,0.5
10,133,-1,0.5
10,134,0,0
10,135,1,0.5
10,136,0,0
10,137,-1,1
10,138,-1,0.3892
10,139,1,1
10,140,-1,1
10,141,1,0.4312
10,142,0,0.25
10,143,-1,0.5
10,144,1,0.5
10,145,1,1
10,146,0,0.75
10,147,0,0
10,148,-1,1
10,149,1,0.6983
10,150,0,0.489
10,151,-1,0.71023
10,152,0,1
10,153,-1,0.8412
10,154,0,0
10,155,-1,0.75
10,156,1,0.5
10,157,1,0.69032
10,158,1,1
10,159,1,0.5
10,160,1,1
10,161,0,0.7589
10,162,-1,0.7239
10,163,-1,1
10,164,1,0.5
10,165,-1,0.83429
10,166,1,1
10,167,1,0.23931
10,168,0,0
10,169,1,0.12332
10,170,0,0.5
10,171,-1,1
10,172,1,0.25
10,173,1,0.5
10,174,1,1
10,175,-1,1
10,176,-1,1
10,177,-1,0.25
10,178,0,0.5
10,179,0,0.25
10,180,-1,0.78123
