Participant,Trial,Temperature,Duration,Direction,FeltThermal,FeltMotion,FeltDirection,ThermalMatch,DirectionMatch
14,1,9,0.1,0,1,0,0,1,1
14,2,9,1.0,1,1,1,1,1,1
14,3,-15,0.1,0,-1,1,0,1,1
14,4,9,2.0,0,1,0,0,1,1
14,6,-15,1.0,0,-1,1,0,1,1
14,7,0,0.1,0,0,1,0,1,1
14,8,0,0.1,0,0,1,0,1,1
14,9,-15,2.0,0,-1,1,0,1,1
14,12,-15,0.1,1,-1,1,1,1,1
14,13,-15,0.1,0,-1,1,0,1,1
14,14,9,2.0,0,1,1,0,1,1
14,15,9,1.0,1,1,1,1,1,1
14,16,9,0.1,0,1,1,0,1,1
14,17,-15,1.0,1,-1,1,1,1,1
14,19,0,1.0,1,0,1,1,1,1
14,20,0,1.0,1,0,1,1,1,1
14,21,9,2.0,0,1,1,0,1,1
14,22,9,1.0,0,1,1,0,1,1
14,23,-15,0.1,0,-1,1,0,1,1
14,24,-15,2.0,1,-1,0,1,1,1
14,25,-15,1.0,0,-1,1,0,1,1
14,26,0,2.0,0,0,1,0,1,1
14,28,0,1.0,1,0,1,1,1,1
14,29,-15,2.0,0,-1,1,0,1,1
14,30,0,2.0,1,0,1,1,1,1
14,31,9,2.0,1,1,0,1,1,1
14,32,-15,0.1,1,-1,1,1,1,1
14,33,9,0.1,0,1,1,0,1,1
14,34,9,1.0,1,1,1,1,1,1
14,35,9,1.0,1,1,1,1,1,1
14,36,0,1.0,1,0,1,1,1,1
14,37,9,0.1,0,1,1,0,1,1
14,38,-15,1.0,1,-1,1,1,1,1
14,39,0,1.0,1,0,1,1,1,1
14,40,0,2.0,1,0,0,1,1,1
14,41,9,2.0,1,1,0,1,1,1
14,42,9,0.1,0,1,1,0,1,1
14,44,-15,1.0,0,-1,1,0,1,1
14,45,0,2.0,1,0,1,1,1,1
14,46,-15,2.0,1,-1,1,1,1,1
14,47,-15,1.0,1,-1,1,1,1,1
14,48,-15,2.0,1,-1,1,1,1,1
14,49,-15,2.0,0,-1,1,0,1,1
14,50,9,2.0,0,1,1,0,1,1
14,51,-15,1.0,1,-1,1,1,1,1
14,52,0,0.1,1,0,1,1,1,1
14,53,0,0.1,1,0,1,1,1,1
14,54,-15,1.0,1,-1,1,1,1,1
14,55,-15,0.1,0,-1,1,0,1,1
14,57,0,0.1,1,0,1,1,1,1
14,58,-15,2.0,1,-1,1,1,1,1
14,59,0,0.1,1,0,1,1,1,1
