Duration,Location,Levene_W,p_value,Homoscedasticity_OK
0.1,0.0,1.8818771892803112,0.15610933625782994,1
0.1,0.25,3.215288240629575,0.04287121567215059,1
0.1,0.5,0.8512422951542822,0.42897755362152745,1
0.1,0.75,0.11308063283001804,0.893162527316556,1
0.1,1.0,0.31299990437169345,0.7317911985220096,1
1.0,0.0,6.017091227772049,0.0030190106103610633,0
1.0,0.25,7.415252121568796,0.0008159498788606716,0
1.0,0.5,0.5098328283252286,0.6015683375330962,1
1.0,0.75,3.7367991883251186,0.026018256890760542,1
1.0,1.0,0.3155986134034232,0.7298167140767711,1
2.0,0.0,2.0442768136280876,0.1328845417613349,1
2.0,0.25,10.601010339643738,4.730981999170377e-05,0
2.0,0.5,0.6474496175936322,0.5247705277109006,1
2.0,0.75,2.7950102618977084,0.06421762647683478,1
2.0,1.0,0.10111309933889981,0.9038899900970325,1
