Participant,Trial,Temperature,Duration,Location,FeltThermal,FeltLocation,ThermalMatch,LocationError
1,114,0,2.0,1.0,0,0.6888889,1,0.3111111
1,128,0,2.0,1.0,0,0.6388889,1,0.3611111
1,153,0,2.0,1.0,0,0.6831945,1,0.31680549999999996
1,161,0,2.0,1.0,0,0.6555555,1,0.34444450000000004
1,49,9,0.1,0.0,1,0.0,1,0.0
1,84,9,0.1,0.0,1,0.0,1,0.0
1,102,9,0.1,0.0,1,0.0,1,0.0
1,167,9,0.1,0.0,1,0.0,1,0.0
1,51,9,0.1,0.25,1,0.0,1,0.25
1,76,9,0.1,0.25,1,0.0,1,0.25
1,90,9,0.1,0.25,1,0.0,1,0.25
1,98,9,0.1,0.25,1,0.0,1,0.25
1,110,9,0.1,0.25,1,0.0,1,0.25
1,52,9,0.1,0.5,1,0.7970834,1,-0.2970834
1,75,9,0.1,0.5,1,0.7165278,1,-0.21652780000000005
1,141,9,0.1,0.5,1,0.7416667,1,-0.2416667
1,170,9,0.1,0.5,1,0.7555556,1,-0.2555556
1,9,9,0.1,0.75,1,0.9109722,1,-0.1609722
1,62,9,0.1,0.75,1,0.6665278,1,0.0834722
1,87,9,0.1,0.75,1,0.6972222,1,0.052777799999999986
1,7,9,0.1,1.0,1,0.83875,1,0.16125
1,8,9,0.1,1.0,1,0.8943056,1,0.10569439999999997
1,28,9,0.1,1.0,1,0.7970834,1,0.2029166
1,44,9,0.1,1.0,1,0.6831945,1,0.31680549999999996
1,22,9,1.0,0.0,1,0.0,1,0.0
1,63,9,1.0,0.0,1,0.0,1,0.0
1,94,9,1.0,0.0,1,0.0,1,0.0
1,109,9,1.0,0.0,1,0.0,1,0.0
1,74,9,1.0,0.25,1,0.7055556,1,-0.45555559999999995
1,80,9,1.0,0.25,1,0.0,1,0.25
1,81,9,1.0,0.25,1,0.0,1,0.25
1,37,9,1.0,0.5,1,0.7026389,1,-0.20263889999999996
1,38,9,1.0,0.5,1,0.6970834,1,-0.19708340000000002
1,93,9,1.0,0.5,1,0.6861111,1,-0.18611109999999997
1,96,9,1.0,0.5,1,0.5805556,1,-0.08055559999999995
1,124,9,1.0,0.75,1,0.7527778,1,-0.0027778000000000524
1,126,9,1.0,0.75,1,0.625,1,0.125
1,133,9,1.0,0.75,1,0.7776389,1,-0.027638900000000022
1,149,9,1.0,1.0,1,0.6972222,1,0.3027778
1,157,9,1.0,1.0,1,0.7277778,1,0.27222219999999997
1,168,9,1.0,1.0,1,0.73875,1,0.26125
1,18,9,2.0,0.0,1,0.0,1,0.0
1,116,9,2.0,0.0,1,0.0,1,0.0
1,120,9,2.0,0.0,1,0.0,1,0.0
1,135,9,2.0,0.0,1,0.0,1,0.0
1,21,9,2.0,0.25,1,0.0,1,0.25
1,59,9,2.0,0.25,1,0.0,1,0.25
1,127,9,2.0,0.25,1,0.0,1,0.25
1,143,9,2.0,0.25,1,0.55,1,-0.30000000000000004
1,47,9,2.0,0.5,1,0.7109722,1,-0.21097220000000005
1,118,9,2.0,0.5,1,0.6276389,1,-0.1276389
